b1,b2,b3,b4,b5,b6,none_T100,green_T100,red_T100,blue_T100,none_LD,green_LD,red_LD,blue_LD,colours,total
32,26,8,36,23,42,21,24,29,26,10,3,1,0,024,167
40,12,6,39,10,29,21,24,29,26,11,0,2,1,231,136
14,19,41,29,24,20,21,24,28,27,12,1,3,0,114,147
21,46,48,34,26,28,20,24,29,27,13,2,0,1,321,203
6,10,26,4,20,30,21,23,29,27,0,3,1,2,222,96
2,6,36,31,44,35,21,22,29,28,1,4,2,0,123,154
17,15,5,27,16,23,21,22,28,29,2,5,3,0,123,103
8,35,43,7,26,18,21,22,27,30,3,6,4,0,213,137
37,16,24,45,41,1,21,22,28,29,4,7,0,1,321,164
10,26,39,15,9,22,21,23,28,28,5,0,1,2,231,121
4,40,12,29,33,34,20,23,29,28,6,1,0,3,321,152
41,13,34,9,2,43,19,23,30,28,7,2,0,4,312,142
40,34,49,2,33,1,19,22,31,28,8,3,0,5,311,159
9,19,16,17,4,7,19,22,32,27,9,4,0,6,411,72
35,27,34,7,28,9,19,22,33,26,10,5,0,7,321,140
36,13,23,38,26,31,19,21,33,27,11,6,1,0,213,167
45,17,32,49,21,48,19,21,33,27,12,0,2,1,032,212
43,45,36,16,24,23,19,22,32,27,13,0,3,2,231,187
26,8,11,18,40,31,19,21,32,28,14,1,4,0,213,134
40,5,44,46,30,43,19,21,33,27,15,2,0,1,312,208
10,29,5,42,45,43,19,21,33,27,0,3,1,2,222,174
24,42,46,40,10,3,19,21,33,27,0,4,2,3,330,165
34,31,26,33,5,38,19,20,33,28,1,5,3,0,213,167
27,2,40,24,47,30,19,21,33,27,2,0,4,1,132,170
26,35,27,17,21,18,19,21,33,27,0,1,5,2,033,144
8,19,34,29,39,12,19,21,33,27,0,2,6,3,222,141
11,5,12,41,33,34,19,21,33,27,1,3,7,0,123,136
9,29,49,37,46,45,20,21,32,27,0,4,8,1,221,215
16,43,35,36,30,44,20,21,32,27,0,5,9,2,222,204
27,17,33,24,32,28,20,22,31,27,1,0,10,3,132,161
12,24,36,25,18,2,20,22,31,27,2,0,11,4,141,117
24,27,40,32,30,21,20,23,30,27,3,0,12,5,141,174
33,46,5,19,40,35,20,23,30,27,4,1,0,6,312,178
2,47,38,37,35,10,20,22,30,28,5,2,1,0,204,169
27,33,48,30,23,15,20,22,30,28,6,0,2,1,051,176
45,20,5,33,35,11,20,22,30,28,7,1,3,0,024,149
30,46,21,48,3,45,19,23,30,28,8,0,4,1,150,193
43,5,34,44,48,6,20,22,30,28,0,1,5,2,222,180
43,35,31,33,36,11,21,22,29,28,0,2,6,3,222,189
43,13,7,44,32,2,22,21,29,28,0,3,7,4,303,141
38,11,40,3,28,6,22,21,29,28,0,4,8,5,222,126
23,5,47,1,16,32,21,21,29,29,1,5,9,0,204,124
5,9,33,22,25,21,20,22,29,29,2,0,10,1,231,115
43,42,12,8,9,1,20,23,29,28,3,0,11,2,231,115
1,36,4,32,35,22,20,22,30,28,4,1,0,3,312,130
30,4,39,45,17,1,20,23,30,27,5,0,1,4,231,136
28,6,41,31,1,48,20,23,30,27,6,1,0,5,321,155
48,15,26,28,27,3,20,24,30,26,7,0,1,6,141,147
22,31,14,3,30,47,21,24,29,26,0,1,2,7,222,147
8,12,5,2,28,26,21,23,29,27,1,2,3,0,114,81
25,35,3,24,7,12,21,24,28,27,2,0,4,1,231,106
25,46,24,28,8,15,21,24,28,27,3,1,0,2,321,146
1,13,47,11,40,48,21,24,29,26,4,2,0,3,312,160
5,42,16,29,30,43,21,24,29,26,0,3,1,4,222,165
6,28,48,45,27,47,21,25,29,25,1,0,2,5,141,201
31,18,8,24,25,40,21,24,30,25,2,1,0,6,321,146
9,34,11,6,17,26,20,24,30,26,3,2,1,0,123,103
47,42,26,49,8,38,20,24,29,27,4,3,2,0,014,210
34,47,44,5,32,31,19,24,29,28,5,4,3,0,204,193
36,17,37,19,8,47,18,24,29,29,6,5,4,0,213,164
46,17,14,28,10,20,19,23,29,29,0,6,5,1,303,135
7,6,1,46,11,15,19,22,30,29,1,7,0,2,321,86
48,15,34,27,26,31,19,23,30,28,2,0,1,3,231,181
20,13,15,47,25,33,19,23,30,28,0,1,2,4,222,153
43,26,34,9,37,36,18,23,31,28,1,2,0,5,321,185
33,42,1,44,39,3,18,24,31,27,2,0,1,6,141,162
39,1,38,29,2,37,17,24,31,28,3,1,2,0,213,146
49,46,34,36,21,10,16,24,32,28,4,2,0,1,320,196
39,30,10,48,37,23,16,25,32,27,5,0,1,2,231,187
48,32,1,35,20,34,16,25,32,27,6,1,2,0,213,170
45,49,4,19,11,28,16,25,32,27,7,2,0,1,311,156
46,48,19,35,13,9,16,24,33,27,8,3,0,2,321,170
35,28,41,42,21,43,17,23,33,27,0,4,1,3,222,210
26,37,7,15,45,20,18,23,32,27,0,5,2,4,222,150
15,33,6,1,41,39,18,24,32,26,1,0,3,5,141,135
42,2,43,9,40,32,19,24,31,26,0,1,4,6,222,168
24,15,20,17,36,9,19,25,30,26,1,0,5,7,042,121
5,32,44,12,34,30,19,25,29,27,2,1,6,0,123,157
16,19,25,22,20,36,19,24,30,27,3,2,0,1,411,138
3,44,25,48,27,34,19,25,29,27,4,0,1,2,231,181
