b1,b2,b3,b4,b5,b6,none_T100,green_T100,red_T100,blue_T100,none_LD,green_LD,red_LD,blue_LD,colours,total
38,15,2,18,8,36,22,33,22,23,0,1,3,2,033,117
23,1,38,30,10,42,22,33,22,23,0,2,4,3,222,144
33,23,24,3,29,5,23,33,22,22,0,3,5,4,033,117
23,3,22,8,30,28,24,32,22,22,0,4,6,5,222,114
19,44,33,16,34,2,24,32,23,21,1,5,0,6,312,148
16,31,46,34,43,47,24,31,24,21,2,6,0,7,501,217
10,29,49,32,30,18,25,30,24,21,0,7,1,8,122,168
17,44,46,23,18,26,25,30,24,21,1,8,2,0,114,174
37,4,46,8,30,41,25,30,24,21,2,9,0,1,312,166
37,2,41,6,44,45,24,30,24,22,3,10,1,0,123,175
39,23,37,6,38,2,24,29,24,23,4,11,2,0,123,145
9,11,3,27,36,21,23,30,24,23,5,0,3,1,051,107
43,38,29,35,28,39,22,30,24,24,6,1,4,0,213,212
42,4,28,11,20,31,22,30,25,23,7,2,0,1,312,136
22,27,14,45,15,3,21,31,25,23,8,0,1,2,141,126
47,31,4,17,46,21,21,30,26,23,9,1,0,3,312,166
36,47,7,39,34,38,22,29,26,23,0,2,1,4,222,201
18,32,24,42,49,19,22,30,25,23,1,0,2,5,131,184
13,40,29,45,48,10,22,30,26,22,2,1,0,6,321,185
2,39,9,26,41,21,23,30,25,22,0,2,1,7,033,138
46,30,32,15,28,13,23,30,26,21,1,3,0,8,321,164
22,18,28,7,8,12,22,30,27,21,2,4,0,9,321,95
20,19,17,18,49,4,23,30,27,20,0,5,1,10,212,127
5,26,45,28,25,3,23,30,27,20,0,6,2,11,222,132
34,38,32,43,5,22,24,30,26,20,0,7,3,12,303,174
28,16,18,45,47,29,25,29,26,20,0,8,4,13,222,183
41,1,35,12,10,30,26,28,26,20,0,9,5,14,222,129
48,46,49,11,44,22,27,28,26,19,0,10,6,15,212,220
29,1,6,4,49,35,27,28,26,19,0,11,7,16,212,124
14,8,33,6,47,25,27,28,26,19,1,12,8,0,123,133
27,38,5,48,16,19,27,28,26,19,0,13,9,1,222,153
4,34,6,32,17,7,27,28,26,19,1,14,0,2,312,100
1,34,46,22,36,11,27,28,27,18,2,15,0,3,411,150
3,19,14,40,30,23,28,28,26,18,0,16,1,4,222,129
14,18,22,17,25,38,28,28,26,18,1,17,2,0,213,134
9,1,3,6,14,32,28,28,26,18,2,0,3,1,132,65
13,11,35,6,49,2,28,28,25,19,3,1,4,0,113,116
