b1,b2,b3,b4,b5,b6,colours,total
15,8,20,34,19,39,222,135
26,27,1,37,13,45,321,149
3,5,2,33,42,38,033,123
19,49,26,41,13,39,212,187
49,30,15,47,21,18,041,180
30,23,27,26,8,14,024,128
11,47,31,44,33,43,213,209
26,45,5,19,20,29,114,144
24,22,44,1,11,12,222,114
15,6,45,17,22,14,132,119
35,38,48,15,1,20,123,157
9,2,43,39,26,29,123,148
15,28,40,21,45,7,330,156
31,15,29,22,44,21,222,162
38,25,7,12,16,3,321,101
42,13,4,17,10,39,321,125
1,40,35,9,14,27,222,126
22,43,8,36,2,24,222,135
40,44,26,47,34,27,213,218
39,14,5,33,37,31,222,159
13,23,30,27,12,26,132,131
45,35,10,47,12,16,222,165
14,20,19,39,11,3,123,106
20,22,33,16,10,8,312,109
34,44,1,16,14,35,303,144
4,5,42,17,1,49,212,118
12,8,21,5,9,13,132,68
10,36,35,9,15,28,231,133
21,20,36,2,49,41,023,169
47,5,45,11,22,1,213,131
14,22,42,43,38,30,222,189
29,47,11,19,13,33,213,152
21,1,35,47,28,2,213,134
36,19,43,42,3,9,240,152
17,6,38,28,47,27,123,163
41,39,1,3,28,22,321,134
35,3,28,19,47,48,222,180
14,23,35,12,47,11,015,142
32,34,8,46,21,16,312,157
35,24,30,39,27,37,141,192
33,40,39,14,21,16,231,163
18,48,27,3,39,45,060,180
21,40,29,19,35,13,312,157
16,25,2,5,15,11,213,74
27,25,21,6,33,7,240,119
47,48,31,6,13,10,321,155
13,36,17,31,32,39,222,168
18,38,8,2,39,48,033,153
4,6,44,45,30,26,132,155
27,17,1,8,41,16,213,110
43,8,20,21,28,5,213,125
31,4,2,10,3,29,312,79
9,26,49,34,19,35,212,172
46,35,14,15,23,32,114,165
19,42,16,11,29,25,312,142
8,9,7,35,31,6,222,96
11,44,18,24,48,31,132,176
12,42,21,34,19,37,330,165
8,9,26,22,45,48,132,158
29,39,36,4,11,31,222,150
16,7,21,45,35,34,321,158
37,22,6,2,39,49,221,155
15,3,19,34,25,33,330,129
40,7,5,9,3,30,231,94
48,25,14,6,10,46,321,149
31,13,34,3,48,19,420,148
28,14,40,24,21,42,231,169
31,32,14,12,29,39,123,157
8,30,5,12,14,33,033,102
11,5,9,37,27,6,132,95
13,21,2,46,42,12,231,136
2,38,34,41,4,43,303,162
46,48,3,42,49,30,140,218
17,35,43,14,45,46,213,200
25,38,43,19,9,48,321,182
1,6,48,43,12,10,330,120
21,20,49,9,22,45,131,166
41,3,23,40,18,20,123,145
37,25,31,46,14,3,411,156
49,44,7,12,10,31,311,153
12,16,40,34,42,8,321,152
16,26,11,9,29,33,123,124
8,33,36,35,30,15,042,157
5,2,4,18,35,10,213,74
9,12,39,29,15,3,051,107
21,10,22,29,40,45,321,167
8,37,32,15,20,22,213,134
18,15,7,41,21,29,132,131
27,40,20,34,7,48,321,176
42,36,4,7,43,30,330,162
31,15,5,29,20,9,123,109
28,41,16,42,21,40,321,188
20,18,37,22,34,2,312,133
33,1,25,44,18,14,222,135
15,10,39,30,42,47,141,183
34,11,27,47,15,36,132,170
43,12,2,45,20,36,132,158
32,25,30,10,1,46,411,144
21,38,41,46,44,3,123,193
2,3,31,17,12,49,122,114
29,35,3,14,16,31,213,128
23,26,18,46,32,16,213,161
9,10,17,31,8,44,213,119
34,37,17,23,25,38,303,174
23,42,7,31,39,41,222,183
20,10,29,5,14,25,204,103
48,9,32,18,8,37,132,152
11,3,32,42,36,45,042,169
20,7,8,6,15,45,132,101
47,14,24,49,17,2,014,153
33,38,19,47,13,25,312,175
44,15,21,24,39,4,141,147
18,14,40,22,34,5,312,133
42,21,19,18,33,23,141,156
37,4,16,32,31,24,411,144
9,23,25,4,1,33,321,95
38,31,1,2,26,9,213,107
23,9,21,12,34,33,141,132
7,9,31,2,19,37,411,105
41,11,44,5,18,48,024,167
38,39,5,43,35,34,213,194
33,40,1,21,2,45,231,142
34,2,38,15,1,6,222,96
47,2,7,36,38,19,213,149
29,4,20,48,28,44,213,173
32,36,39,38,31,28,222,204
47,21,8,46,28,6,222,156
16,42,9,49,23,10,221,149
46,10,32,18,27,34,321,167
6,15,27,20,12,28,141,108
20,37,4,24,23,9,222,117
47,21,44,15,39,13,132,179
47,33,27,4,2,16,222,129
13,4,23,22,48,45,321,155
35,2,48,28,4,40,312,157
36,19,24,30,35,34,231,178
45,7,14,35,18,16,222,135
25,39,3,15,26,47,132,155
28,14,29,22,18,6,222,117
16,39,29,25,49,27,221,185
24,42,1,28,10,6,330,111
25,4,36,29,13,43,411,150
7,44,30,13,42,11,222,147
14,7,22,46,48,26,312,163
19,13,39,37,34,48,420,190
40,17,44,46,13,3,312,163
7,13,21,9,16,1,420,67
43,28,33,41,27,10,321,182
14,23,1,45,22,20,213,125
