b1,b2,b3,b4,b5,b6,green_0,green_2p,green_3p,green_4p,green_5p,green_6,red_0,red_2p,red_3p,red_4p,red_5p,red_6,blue_0,blue_2p,blue_3p,blue_4p,blue_5p,blue_6,colours,total
48,23,5,38,46,39,1,0,2,16,31,1679,9,1,2,6,63,2594,2,0,0,1,69,3225,123,199
17,41,12,43,18,32,2,0,3,17,32,1680,10,2,3,7,64,2595,3,0,0,2,70,3226,123,163
26,3,27,34,19,15,3,0,0,18,33,1681,11,0,4,8,65,2596,4,1,1,3,71,3227,231,124
35,41,26,44,46,20,3,0,0,18,33,1681,11,0,4,8,65,2596,4,1,1,3,71,3227,105,212
37,19,38,10,30,7,1,2,2,20,35,1683,13,0,0,0,67,2598,6,1,1,1,1,3229,411,141
46,17,36,14,13,43,2,3,3,21,36,1684,14,0,0,1,68,2599,7,0,2,2,2,3230,312,169
40,19,49,46,28,45,3,4,4,22,37,1685,15,0,0,0,69,2600,0,1,3,3,3,3231,410,227
29,47,35,26,39,3,4,0,5,23,38,1686,0,1,1,1,70,2601,1,0,0,0,4,3232,024,179
31,6,22,5,2,43,5,1,6,24,39,1687,1,0,0,2,71,2602,2,0,1,1,5,3233,312,109
49,26,41,37,7,40,0,2,7,25,40,1688,2,0,0,3,72,2603,3,0,2,2,6,3234,302,200
25,1,40,48,31,47,1,3,8,26,41,1689,3,0,0,0,73,2604,4,1,3,3,7,3235,411,192
36,49,38,5,24,30,2,0,0,27,42,1690,0,1,1,1,74,2605,5,0,4,4,8,3236,032,182
10,31,15,37,40,14,3,1,1,28,43,1691,1,0,0,0,75,2606,6,1,5,5,9,3237,411,147
11,7,13,2,8,9,4,2,2,29,44,1692,2,0,1,1,76,2607,7,0,0,6,10,3238,213,50
29,37,10,34,46,23,0,3,3,30,45,1693,3,0,0,0,77,2608,8,0,1,7,11,3239,402,179
6,47,12,36,24,3,1,0,0,0,0,1694,0,1,1,1,78,2609,9,1,2,8,12,3240,051,128
31,22,35,21,17,3,2,0,1,1,1,1695,1,0,2,2,79,2610,10,0,3,9,13,3241,222,129
38,27,26,24,47,1,3,0,2,2,2,1696,2,1,3,3,80,2611,11,0,0,10,14,3242,123,163
5,24,32,39,49,23,4,0,3,3,3,1697,0,2,4,4,81,2612,12,0,0,11,15,3243,023,172
12,17,38,35,6,21,5,0,0,4,4,1698,0,3,5,5,82,2613,13,0,0,12,16,3244,033,129
26,22,37,7,27,13,6,1,1,5,5,1699,1,0,0,0,83,2614,14,1,1,13,17,3245,411,132
9,39,21,8,31,4,7,0,0,6,6,1700,2,0,1,1,84,2615,15,2,2,14,18,3246,231,112
13,17,24,34,36,39,8,0,0,7,7,1701,3,0,2,2,85,2616,16,3,3,15,19,3247,231,163
10,19,42,49,30,6,9,0,0,8,8,1702,4,0,3,3,86,2617,0,4,4,16,20,3248,230,156
4,46,33,27,9,15,10,0,0,0,9,1703,5,0,4,4,87,2618,0,5,5,17,21,3249,240,134
43,25,31,44,7,17,0,1,1,1,10,1704,6,0,0,0,88,2619,1,0,6,18,22,3250,402,167
2,11,18,20,34,28,1,2,2,2,11,1705,7,0,1,1,89,2620,2,0,0,19,23,3251,213,113
45,36,9,19,43,22,2,0,0,3,12,1706,8,0,0,2,90,2621,0,1,1,20,24,3252,330,174
22,3,29,38,20,23,3,1,1,4,13,1707,9,1,1,3,91,2622,1,0,0,0,25,3253,114,135
29,18,28,24,42,16,4,0,0,5,14,1708,10,0,2,4,92,2623,2,1,1,1,26,3254,231,157
20,3,41,24,9,42,5,0,0,0,15,1709,0,1,3,5,93,2624,3,0,2,2,27,3255,042,139
17,3,28,15,7,19,6,0,1,1,16,1710,1,0,0,6,94,2625,4,1,3,3,28,3256,321,89
23,44,1,17,40,33,7,1,2,2,17,1711,2,0,1,7,95,2626,5,0,0,4,29,3257,213,158
44,6,32,24,9,14,8,0,0,3,18,1712,0,1,2,8,96,2627,6,0,0,5,30,3258,033,129
44,46,18,21,49,26,9,0,1,4,19,1713,1,2,3,9,97,2628,7,0,1,6,31,3259,122,204
49,5,47,31,42,14,10,1,2,5,20,1714,2,3,4,10,98,2629,8,0,0,7,32,3260,113,188
32,30,16,26,12,22,11,0,3,6,21,1715,3,0,5,11,99,2630,9,0,1,8,33,3261,222,138
20,18,10,38,28,15,12,0,4,7,22,1716,4,0,6,12,100,2631,10,0,2,9,34,3262,222,129
2,7,17,41,27,4,13,1,5,8,23,1717,5,0,7,13,101,2632,11,0,0,10,35,3263,213,98
29,14,33,27,49,43,14,0,6,9,24,1718,6,1,8,14,102,2633,12,0,1,11,36,3264,122,195
5,39,13,47,42,36,15,0,0,10,25,1719,7,2,9,15,103,2634,13,0,2,12,37,3265,132,182
43,8,2,37,3,36,16,0,1,11,26,1720,8,0,10,16,104,2635,14,0,3,13,38,3266,222,129
16,19,44,22,28,34,0,1,2,12,27,1721,9,0,0,0,0,2636,15,1,4,14,39,3267,501,163
4,6,47,40,46,26,1,2,3,13,28,1722,10,0,0,1,1,2637,16,0,5,15,40,3268,312,169
48,34,26,43,31,11,2,3,4,14,29,1723,11,0,0,2,2,2638,17,0,6,16,41,3269,312,193
42,34,32,17,11,40,3,4,5,15,30,1724,12,0,1,3,3,2639,18,0,0,17,42,3270,213,176
22,18,49,5,31,21,4,0,6,16,31,1725,13,0,2,4,4,2640,19,1,1,18,43,3271,221,146
42,27,36,33,48,26,5,0,0,0,0,1726,0,1,3,5,5,2641,20,2,2,19,44,3272,051,212
9,30,12,38,41,17,6,0,0,1,1,1727,0,2,4,6,6,2642,21,0,0,20,45,3273,033,147
28,22,36,13,9,34,7,0,1,2,2,1728,1,0,0,0,7,2643,0,1,1,21,46,3274,420,142
12,31,16,5,42,33,8,0,0,3,3,1729,2,0,1,1,8,2644,1,2,2,22,47,3275,231,139
44,32,14,43,1,38,0,1,1,4,4,1730,3,0,2,2,9,2645,2,0,0,0,48,3276,204,172
34,15,49,41,31,45,1,0,2,5,5,1731,4,0,3,3,10,2646,3,1,1,1,49,3277,221,215
31,48,19,36,26,35,2,0,3,6,6,1732,5,0,4,4,11,2647,4,0,2,2,50,3278,222,195
9,22,2,33,36,19,3,0,0,7,7,1733,6,0,5,5,12,2648,5,1,3,3,51,3279,231,121
25,23,11,9,2,7,4,1,1,8,8,1734,7,0,6,6,13,2649,6,0,0,4,52,3280,213,77
8,15,45,25,36,31,5,0,0,9,9,1735,8,0,7,7,14,2650,7,1,1,5,53,3281,231,160
21,40,16,6,31,47,6,0,1,10,10,1736,9,0,0,8,15,2651,8,2,2,6,54,3282,321,161
36,24,30,19,38,6,7,0,0,0,11,1737,10,1,1,9,16,2652,9,3,3,7,55,3283,141,153
22,11,4,5,25,23,0,1,1,1,12,1738,11,0,0,10,17,2653,10,0,0,8,56,3284,303,90
16,10,45,5,30,14,1,0,2,2,13,1739,12,0,1,11,18,2654,11,0,1,9,57,3285,222,120
24,12,44,30,27,9,2,0,0,0,0,1740,0,1,2,12,19,2655,12,1,2,10,58,3286,051,146
34,13,36,30,10,1,3,0,1,1,1,1741,1,0,0,0,20,2656,0,2,3,11,59,3287,420,124
25,6,9,33,21,39,4,0,0,0,0,1742,2,1,1,1,21,2657,0,3,4,12,60,3288,150,133
24,11,15,5,19,17,5,0,1,1,1,1743,3,2,2,2,22,2658,1,0,0,13,61,3289,123,91
16,28,36,7,31,10,6,1,2,2,2,1744,4,0,0,0,0,2659,0,1,1,14,62,3290,510,128
18,33,4,2,32,45,7,0,0,3,3,1745,5,1,1,1,1,2660,1,0,2,15,63,3291,132,134
42,47,45,28,3,13,8,0,0,4,4,1746,6,0,2,2,2,2661,2,1,3,16,64,3292,231,178
19,1,30,6,39,12,9,0,0,0,5,1747,7,0,3,3,3,2662,0,2,4,17,65,3293,240,107
9,7,21,25,14,42,10,0,0,1,6,1748,8,0,4,4,4,2663,1,3,5,18,66,3294,231,118
26,27,1,43,40,13,11,1,1,2,7,1749,9,0,0,0,5,2664,2,4,6,19,67,3295,411,150
41,11,47,15,16,33,12,0,2,3,8,1750,10,1,1,1,6,2665,3,0,0,20,68,3296,123,163
38,29,1,14,47,25,0,1,3,4,9,1751,11,0,2,2,7,2666,4,0,0,0,69,3297,204,154
34,5,8,37,45,4,1,2,4,5,10,1752,12,0,0,3,8,2667,5,0,1,1,70,3298,312,133
42,27,18,31,3,24,2,0,0,0,0,1753,13,1,1,4,9,2668,0,1,2,2,71,3299,150,145
26,15,4,9,47,18,3,0,0,1,1,1754,14,2,2,5,10,2669,1,0,3,3,72,3300,132,119
38,41,1,9,35,33,4,0,1,2,2,1755,15,3,3,6,11,2670,2,0,0,4,73,3301,123,157
49,1,34,4,33,23,5,1,2,3,3,1756,16,0,0,7,12,2671,3,1,1,5,74,3302,311,144
45,1,31,24,16,42,6,0,0,4,4,1757,17,0,0,8,13,2672,0,2,2,6,75,3303,330,159
22,30,14,13,1,20,7,1,1,5,5,1758,18,0,0,9,14,2673,1,0,3,7,76,3304,312,100
8,43,45,1,25,35,8,2,2,6,6,1759,19,0,0,10,15,2674,2,0,4,8,77,3305,312,157
1,18,36,43,33,17,9,0,0,7,7,1760,20,0,1,11,16,2675,3,1,5,9,78,3306,231,148
7,28,10,33,47,20,10,1,1,8,8,1761,21,0,0,12,17,2676,4,0,6,10,79,3307,312,145
5,37,13,47,46,15,11,2,2,9,9,1762,22,0,0,13,18,2677,5,0,7,11,80,3308,312,163
20,36,17,42,2,32,12,0,3,10,10,1763,0,1,1,14,19,2678,6,0,0,0,81,3309,024,149
8,3,40,24,4,6,13,0,0,11,11,1764,1,0,2,15,20,2679,7,1,1,1,82,3310,231,85
5,36,10,13,7,22,14,1,1,12,12,1765,2,0,0,0,21,2680,8,2,2,2,83,3311,411,93
32,3,36,4,35,21,15,0,0,13,13,1766,3,1,1,1,22,2681,9,0,3,3,84,3312,132,131
32,12,22,7,24,17,16,0,1,14,14,1767,4,0,2,2,23,2682,10,0,4,4,85,3313,222,114
42,12,9,46,40,25,17,0,0,15,15,1768,5,0,0,3,24,2683,0,1,5,5,86,3314,330,174
26,8,31,5,12,21,18,0,1,16,16,1769,6,1,1,4,25,2684,1,0,0,6,87,3315,123,103
14,19,8,24,42,31,19,0,2,17,17,1770,7,0,2,5,26,2685,2,0,1,7,88,3316,222,138
30,46,32,43,35,11,20,1,3,18,18,1771,8,0,3,6,27,2686,3,0,0,8,89,3317,213,197
32,24,28,47,37,13,21,2,4,19,19,1772,9,0,0,7,28,2687,4,0,1,9,90,3318,312,181
9,40,20,14,8,22,22,3,5,20,20,1773,10,0,1,8,29,2688,5,0,0,10,91,3319,213,113
42,15,45,20,16,19,23,0,0,21,21,1774,11,0,2,9,30,2689,6,1,1,11,92,3320,231,157
35,16,36,45,17,25,24,0,1,22,22,1775,12,0,3,10,31,2690,7,0,2,12,93,3321,222,174
10,31,36,30,3,24,25,0,0,0,23,1776,13,0,4,11,32,2691,0,1,3,13,94,3322,240,134
3,21,35,36,49,44,26,0,0,1,24,1777,0,1,5,12,33,2692,1,0,4,14,95,3323,032,188
33,11,37,8,38,27,27,0,1,2,25,1778,1,2,6,13,34,2693,2,0,0,15,96,3324,123,154
28,25,6,3,47,1,28,0,2,3,26,1779,2,0,0,14,35,2694,3,1,1,16,97,3325,321,110
42,35,25,4,2,44,29,1,3,4,27,1780,3,0,1,15,36,2695,4,0,0,17,98,3326,213,152
