b1,b2,b3,b4,b5,b6,none_T100,green_T100,red_T100,blue_T100,none_LD,green_LD,red_LD,blue_LD,colours,total
16,35,48,43,25,19,16,25,29,30,5,7,0,2,411,186
10,38,12,2,39,13,17,25,29,29,0,8,1,3,222,114
19,16,24,6,22,36,18,24,29,29,0,9,2,4,330,123
13,19,7,24,10,23,18,24,29,29,1,10,0,5,411,96
15,36,47,30,29,32,18,24,29,29,0,11,1,6,033,189
16,14,33,9,13,31,18,24,29,29,1,12,0,7,321,116
32,17,48,11,7,34,18,24,29,29,2,13,1,0,213,149
9,24,2,3,15,33,18,25,29,28,3,0,2,1,051,86
24,29,6,48,17,46,18,26,28,28,4,0,3,2,132,170
24,16,44,1,14,13,18,25,29,28,5,1,0,3,312,112
24,40,31,44,25,36,17,25,30,28,6,2,0,4,321,200
1,27,36,26,19,11,18,24,30,28,0,3,1,5,222,120
40,5,42,28,1,43,18,23,31,28,1,4,0,6,411,159
42,11,30,46,49,1,19,23,31,27,0,5,1,7,221,179
16,41,28,13,23,49,19,23,31,27,1,6,0,8,302,170
20,14,11,19,22,8,19,23,30,28,2,7,1,0,204,94
13,5,46,48,47,45,20,23,30,27,0,8,2,1,222,204
24,41,16,45,5,10,21,23,29,27,0,9,3,2,222,141
3,23,13,35,20,25,21,23,29,27,1,10,4,0,213,119
35,42,41,21,45,27,21,24,29,26,2,0,5,1,042,211
48,9,22,43,1,45,22,23,29,26,0,1,6,2,330,168
18,19,1,46,34,43,22,23,30,25,1,2,0,3,510,161
49,11,39,40,38,29,21,23,30,26,2,3,1,0,113,206
10,30,16,35,9,6,20,24,30,26,3,0,2,1,231,106
6,43,7,40,16,13,20,24,31,25,4,1,0,2,510,125
21,3,44,11,15,24,20,24,31,25,5,0,1,3,042,118
7,34,42,18,20,26,21,24,31,24,0,1,2,4,222,147
8,33,30,16,6,38,21,24,31,24,1,0,3,5,132,131
8,47,4,2,34,28,22,24,31,23,0,1,4,6,303,123
4,30,5,46,3,32,23,24,30,23,0,2,5,7,222,120
47,16,11,6,49,42,24,23,30,23,0,3,6,8,122,171
4,24,33,22,48,41,24,23,30,23,1,0,7,9,231,172
17,16,12,6,1,9,23,24,30,23,2,0,8,10,231,61
15,38,25,9,18,49,23,24,30,23,3,0,9,11,131,154
44,25,5,45,21,34,23,24,30,23,0,1,10,12,222,174
9,42,47,26,24,2,24,24,30,22,0,2,11,13,033,150
23,35,46,4,32,34,24,24,30,22,0,3,12,14,303,174
8,17,30,7,10,31,24,24,30,22,1,4,0,15,312,103
1,26,27,12,33,15,24,25,29,22,2,0,1,16,141,114
3,16,18,49,21,37,23,26,29,22,3,0,2,17,230,144
35,14,19,23,9,16,23,26,29,22,4,1,3,0,213,116
36,15,13,22,6,3,22,27,29,22,5,0,4,1,240,95
47,48,3,5,4,22,23,26,29,22,0,1,5,2,222,129
5,9,16,41,30,12,23,26,29,22,1,0,6,3,132,113
29,23,39,26,14,45,23,26,29,22,2,1,7,0,024,176
42,25,34,19,39,22,23,26,30,21,3,2,0,1,420,181
41,22,37,45,44,28,23,25,31,21,4,3,0,2,312,217
43,30,21,6,44,12,23,26,30,21,5,0,1,3,141,156
31,34,20,25,12,40,23,26,31,20,6,1,0,4,411,162
30,44,6,39,25,29,23,27,30,20,7,0,1,5,132,173
28,30,38,40,21,33,23,28,30,19,8,0,2,6,231,190
15,7,14,4,2,43,23,28,31,18,9,1,0,7,312,85
6,2,18,9,42,49,23,28,31,18,10,0,1,8,041,126
14,34,47,6,4,9,24,27,31,18,0,1,2,9,222,114
31,14,28,30,49,43,24,27,32,17,1,2,0,10,311,195
17,19,7,37,5,6,24,26,33,17,2,3,0,11,312,91
32,11,22,45,31,44,24,26,33,17,3,4,1,0,213,185
32,2,42,5,37,19,24,26,32,18,4,5,2,0,213,137
43,37,40,11,19,25,24,26,32,18,5,6,0,1,501,175
47,37,44,40,14,30,24,26,31,19,6,7,1,0,213,212
39,45,9,33,32,24,24,27,31,18,7,0,2,1,051,182
4,40,37,24,31,17,23,27,32,18,8,1,0,2,411,153
49,30,31,38,36,14,23,27,32,18,0,2,1,3,122,198
42,1,25,33,32,39,23,27,32,18,1,0,2,4,231,172
43,47,12,4,21,23,24,27,32,17,0,1,3,5,222,150
16,10,37,8,30,22,24,26,33,17,1,2,0,6,411,123
23,25,26,7,44,32,23,26,33,18,2,3,1,0,204,157
8,1,13,20,41,6,22,26,33,19,3,4,2,0,213,89
2,40,5,18,25,14,22,26,33,19,4,5,3,0,213,104
26,47,18,23,39,20,22,26,32,20,5,6,4,0,024,173
8,22,41,49,47,16,22,26,31,21,6,7,5,0,203,183
11,49,14,29,19,41,22,26,31,21,7,8,6,0,104,163
8,20,28,15,2,1,22,26,31,21,8,9,7,0,213,74
42,32,10,15,31,7,22,26,31,21,9,10,0,1,321,137
25,14,44,28,15,35,22,26,30,22,10,11,1,0,213,161
8,44,40,22,42,39,23,26,29,22,0,12,2,1,222,195
7,38,22,29,40,6,23,26,29,22,1,13,0,2,312,142
48,10,49,26,46,32,24,25,29,22,0,14,1,3,212,211
27,23,7,19,45,5,25,24,29,22,0,15,2,4,222,126
41,43,15,20,40,30,26,24,29,21,0,16,3,5,222,189
36,1,13,18,26,17,27,24,28,21,0,17,4,6,222,111
3,47,40,19,17,16,27,24,28,21,1,18,0,7,312,142
45,44,19,20,15,27,27,24,28,21,2,0,1,8,132,170
42,35,33,30,17,18,27,24,28,21,3,0,2,9,042,175
16,37,34,10,18,12,26,24,29,21,4,1,0,10,420,127
28,24,14,5,19,43,26,24,29,21,5,2,0,11,312,133
10,31,1,26,29,48,26,23,30,21,6,3,0,12,312,145
21,18,46,39,5,8,26,24,29,21,7,0,1,13,132,137
22,42,14,37,15,35,27,23,29,21,0,1,2,14,222,165
20,25,42,41,6,26,27,23,29,21,1,2,3,0,123,160
33,18,2,20,39,38,27,23,29,21,0,3,4,1,033,150
47,20,44,9,6,10,27,23,29,21,1,4,5,0,123,136
42,44,30,29,13,27,27,24,28,21,2,0,6,1,132,185
44,8,2,11,26,10,27,23,28,22,3,1,7,0,105,101
12,45,5,20,4,21,27,24,28,21,4,0,8,1,132,107
29,6,44,37,24,20,26,24,28,22,5,1,9,0,123,160
12,45,30,21,16,31,26,25,27,22,6,0,10,1,240,155
38,30,13,39,33,40,26,26,26,22,7,0,11,2,231,193
8,37,38,29,10,28,27,26,26,21,0,1,12,3,303,150
31,16,46,27,18,13,27,26,26,21,1,2,0,4,420,151
6,4,13,11,20,49,28,26,25,21,0,3,1,5,212,103
38,27,29,5,13,47,27,26,25,22,1,4,2,0,114,159
21,42,20,7,19,37,26,26,26,22,2,5,0,1,321,146
12,36,22,24,43,14,26,27,25,22,3,0,1,2,231,151
21,48,41,16,14,12,25,28,25,22,4,0,2,3,132,152
22,19,41,35,8,46,26,28,24,22,0,1,3,4,303,171
14,6,12,36,38,48,26,29,24,21,1,0,4,5,042,154
20,18,13,38,46,8,26,28,24,22,2,1,5,0,213,143
39,25,13,11,43,14,26,27,25,22,3,2,0,1,312,145
22,38,15,35,10,29,26,27,24,23,4,3,1,0,213,149
11,9,26,15,17,36,27,27,23,23,0,4,2,1,033,114
12,34,40,14,27,29,27,27,23,23,0,5,3,2,222,156
47,24,36,2,11,19,27,27,22,24,1,6,4,0,123,139
48,26,20,10,27,46,27,27,22,24,0,7,5,1,222,177
42,23,49,44,26,4,27,27,21,25,1,8,6,0,113,188
22,31,16,1,17,37,27,27,22,24,2,9,0,1,501,124
24,35,17,42,28,31,27,27,22,24,0,10,1,2,222,177
49,41,14,46,35,7,26,27,22,25,1,11,2,0,203,192
11,29,48,18,3,38,27,27,22,24,0,12,3,1,033,147
15,37,16,6,7,5,27,26,23,24,1,13,0,2,321,86
15,30,22,38,48,42,26,27,23,24,2,0,1,3,141,195
36,40,30,5,4,3,26,28,22,24,3,0,2,4,231,118
14,8,21,22,13,36,27,28,22,23,0,1,3,5,222,114
43,46,47,48,20,40,27,27,23,23,1,2,0,6,312,244
42,31,32,3,38,15,27,28,22,23,2,0,1,7,132,161
37,4,24,44,18,19,27,27,23,23,3,1,0,8,321,146
47,9,27,40,4,19,26,27,24,23,4,2,0,9,321,146
26,23,38,32,9,28,26,26,24,24,5,3,1,0,114,156
48,14,31,1,9,46,25,26,25,24,6,4,0,1,321,149
23,2,10,15,20,13,24,26,25,25,7,5,1,0,213,83
37,34,25,4,18,21,24,26,25,25,7,5,1,0,420,139
39,25,27,44,11,40,24,25,26,25,0,7,1,2,222,186
18,48,14,29,16,30,24,25,26,25,1,0,2,3,132,155
5,25,8,49,42,39,25,24,26,25,0,1,3,4,122,168
32,24,21,42,33,2,24,25,26,25,1,0,4,5,042,154
21,46,3,11,8,37,24,25,26,25,0,1,5,6,222,126
8,21,22,39,46,38,24,25,26,25,0,2,6,7,222,174
6,46,30,18,23,5,24,26,25,25,1,0,7,8,132,128
10,4,47,17,35,49,24,25,25,26,2,1,8,0,203,162
10,11,12,20,48,33,24,25,25,26,3,0,9,1,132,134
42,35,36,9,3,12,24,26,25,25,4,0,10,2,051,137
6,3,40,23,15,2,23,26,26,25,5,0,11,3,132,89
22,2,31,4,6,46,23,26,26,25,6,1,0,4,411,111
29,28,31,47,25,15,23,25,27,25,7,2,0,5,312,175
2,31,27,25,18,6,23,26,27,24,8,0,1,6,231,109
35,48,45,24,3,22,23,27,26,24,9,0,2,7,141,177
34,4,14,47,35,30,23,27,25,25,10,1,3,0,213,164
26,28,37,48,29,31,23,26,26,25,11,2,0,1,312,199
11,45,20,32,2,12,23,26,25,26,12,3,1,0,024,122
28,6,9,46,33,29,23,26,25,26,13,0,2,1,231,151
29,22,6,8,26,5,23,25,25,27,14,1,3,0,114,96
24,6,16,49,32,31,24,25,24,27,0,2,4,1,221,158
1,30,25,28,47,5,24,24,25,27,1,3,0,2,312,136
38,20,36,21,39,28,23,25,25,27,2,0,1,3,132,182
49,10,36,23,24,12,23,26,24,27,3,0,2,4,131,154
6,11,40,44,26,49,23,26,23,28,4,1,3,0,113,176
40,7,24,12,3,17,23,27,23,27,5,0,4,1,231,103
33,37,23,7,6,2,24,27,23,26,0,1,5,2,222,108
14,16,20,26,48,43,24,27,22,27,1,2,6,0,213,167
49,46,45,38,4,13,24,27,23,26,2,3,0,1,311,195
40,47,35,9,6,31,25,26,23,26,0,4,1,2,222,168
36,22,2,38,45,24,25,27,22,26,1,0,2,3,132,167
39,16,38,3,49,29,25,27,22,26,0,1,3,4,122,174
1,44,20,37,15,22,25,26,23,26,1,2,0,5,312,139
29,25,2,32,7,3,24,26,23,27,2,3,1,0,213,98
14,38,45,46,36,42,24,27,22,27,3,0,2,1,132,221
44,18,8,13,12,15,24,28,22,26,4,0,3,2,132,110
14,6,37,21,28,49,25,28,22,25,0,1,4,3,221,155
36,30,38,5,32,3,26,28,22,24,0,2,5,4,033,144
41,45,38,25,48,14,26,28,22,24,1,3,6,0,123,211
48,47,21,16,43,31,26,28,23,23,2,4,0,1,321,206
15,16,2,4,9,45,26,29,23,22,3,0,1,2,231,91
2,43,18,32,35,9,26,29,23,22,4,1,2,0,123,139
40,36,1,43,45,2,26,29,23,22,5,2,0,1,321,167
29,43,38,19,47,34,27,29,23,21,0,3,1,2,303,210
47,45,25,42,10,12,26,30,23,21,1,0,2,3,231,181
2,44,38,3,46,37,26,30,22,22,2,1,3,0,213,170
12,21,49,38,27,18,25,31,22,22,3,0,4,1,041,165
35,2,4,43,26,41,24,31,22,23,4,1,5,0,204,151
2,29,41,28,3,30,23,31,22,24,5,2,6,0,123,133
46,12,26,17,25,30,23,31,22,24,0,3,7,1,222,156
39,28,14,31,1,49,23,31,22,24,1,4,0,2,311,162
40,17,27,37,1,8,23,30,23,24,2,5,0,3,312,130
12,46,7,35,22,2,23,29,24,24,3,6,0,4,312,124
5,34,2,21,14,16,23,29,23,25,4,7,1,0,213,92
42,7,49,43,47,30,24,29,22,25,0,8,2,1,221,218
41,20,14,38,8,9,24,29,21,26,1,9,3,0,015,130
2,31,25,7,23,33,24,28,22,26,2,10,0,1,312,121
26,48,7,9,47,5,23,28,22,27,3,11,1,0,123,142
22,35,48,20,2,23,23,28,22,27,4,12,2,0,114,150
35,16,10,7,5,27,22,28,23,27,5,13,0,1,312,100
18,27,3,23,8,4,22,29,23,26,6,0,1,2,132,83
2,33,12,11,38,46,22,28,23,27,7,1,2,0,123,142
8,49,3,26,37,13,23,28,23,26,0,2,3,1,212,136
24,2,19,35,13,32,23,27,23,27,1,3,4,0,213,125
23,31,21,16,25,32,23,27,24,26,2,4,0,1,312,148
13,3,11,18,48,42,23,27,24,26,3,0,1,2,141,135
4,37,49,13,8,48,23,26,25,26,4,1,0,3,311,159
46,16,4,40,22,5,22,26,26,26,5,2,0,4,501,133
21,15,27,14,10,23,22,27,25,26,6,0,1,5,132,110
22,26,36,7,27,20,22,27,25,26,0,1,2,6,222,138
39,24,27,19,49,25,22,28,25,25,1,0,3,7,230,183
39,5,35,33,47,9,23,28,24,25,0,1,4,8,033,168
