b1,b2,b3,b4,b5,b6,colours,total
7,34,6,23,15,37,321,122
13,43,44,23,45,18,222,186
39,26,7,42,8,12,132,134
38,40,19,14,6,48,222,165
18,21,34,13,37,29,321,152
48,35,30,18,4,12,141,147
38,4,30,9,13,47,222,141
23,10,30,33,48,43,231,187
27,25,38,46,44,40,312,220
35,23,15,9,24,45,042,151
8,44,14,12,24,43,123,145
38,24,15,19,37,42,231,175
38,28,36,6,23,11,123,142
28,33,35,24,49,36,131,205
31,6,21,29,34,13,321,134
16,2,21,29,36,45,132,149
38,21,31,34,17,29,213,170
47,9,10,44,32,35,114,177
15,24,43,21,1,20,231,124
42,32,38,25,10,4,312,151
37,47,3,49,16,27,221,179
40,14,19,45,46,39,321,203
49,47,7,37,33,31,311,204
48,2,45,35,38,9,033,177
37,10,9,17,46,33,321,152
47,24,37,46,36,10,321,200
15,48,29,13,35,28,222,168
9,26,36,3,14,40,132,128
40,21,2,41,18,8,123,130
30,12,21,47,5,4,132,119
30,46,45,48,19,14,231,202
25,13,46,2,24,40,411,150
18,42,23,27,36,31,141,177
18,39,13,28,11,15,231,124
24,21,4,14,44,5,123,112
41,31,37,22,34,5,402,170
49,30,20,24,41,45,032,209
43,5,29,7,11,6,213,101
29,44,34,27,6,45,132,185
47,25,42,8,2,32,114,156
11,31,34,16,37,14,402,143
39,18,6,37,10,8,231,118
20,5,33,35,4,27,123,124
40,10,29,41,22,17,303,159
22,14,21,4,12,6,231,79
46,36,32,48,44,11,123,217
16,19,29,8,4,11,303,87
19,4,3,14,38,18,222,96
25,33,36,32,6,5,132,137
46,43,4,10,1,12,510,116
5,48,19,31,15,10,321,128
33,24,45,35,10,44,132,191
31,17,4,14,38,41,204,145
8,15,21,22,19,34,321,119
16,1,32,29,23,21,213,122
11,1,33,44,19,4,312,112
20,31,7,23,19,22,402,122
4,6,5,9,27,10,231,61
41,15,47,46,37,7,312,193
36,1,16,3,27,39,240,122
14,32,37,19,5,2,204,109
14,11,21,47,8,37,114,138
5,16,4,41,20,11,204,97
37,19,12,25,26,23,312,142
11,18,9,27,3,6,051,74
47,26,10,19,25,2,303,129
28,15,5,1,19,4,411,72
13,22,48,38,36,45,231,202
35,29,43,15,31,23,213,176
33,47,28,34,44,30,222,216
42,40,8,10,14,3,222,117
20,39,3,17,21,48,042,148
5,41,28,36,13,18,222,141
38,27,9,17,30,11,033,132
7,26,10,17,9,8,213,77
16,34,3,31,25,15,420,124
24,49,4,44,14,7,212,142
22,44,7,4,20,47,303,144
5,37,39,38,10,46,312,175
13,11,29,10,25,34,402,122
2,4,36,3,18,30,141,93
27,37,6,22,35,2,222,129
7,25,46,5,6,2,312,91
19,8,25,32,37,3,312,124
47,43,10,39,24,5,222,168
32,2,28,15,9,44,123,130
45,39,12,18,30,32,051,176
3,8,22,40,23,33,222,129
20,16,13,10,28,8,402,95
4,32,39,25,15,26,222,141
20,47,25,34,2,16,303,144
17,29,2,39,33,18,033,138
40,9,1,48,13,29,321,140
6,28,9,3,34,44,231,124
9,32,20,49,30,13,122,153
49,21,40,27,10,4,320,151
16,17,6,9,22,3,231,73
19,28,9,42,43,2,321,143
9,8,19,36,24,31,231,127
18,14,4,34,46,25,411,141
27,11,43,33,12,48,141,174
20,28,38,18,17,27,123,148
6,17,8,29,11,19,114,90
4,14,19,23,33,11,213,104
29,28,14,5,43,38,204,157
24,6,7,15,43,25,330,120
11,38,20,19,34,14,204,136
42,28,9,25,3,4,330,111
21,12,35,49,26,2,023,145
33,8,30,43,11,17,123,142
34,26,16,25,43,39,411,183
13,31,37,22,33,7,510,143
33,29,21,14,45,39,042,181
37,18,49,29,24,22,221,179
25,40,11,31,3,6,321,116
20,19,37,18,7,38,312,139
44,46,48,36,3,15,141,192
27,7,43,13,11,12,321,113
25,39,32,45,22,29,222,192
7,32,48,30,4,11,222,132
48,39,5,15,13,45,141,165
8,31,28,23,15,47,213,152
31,7,12,9,3,35,231,97
47,37,39,48,11,9,132,191
35,23,27,45,34,44,123,208
18,38,7,31,42,12,231,148
4,3,6,36,44,5,132,98
29,22,1,47,11,15,213,125
43,24,6,7,21,44,231,145
41,15,37,12,9,40,231,154
10,20,34,43,7,6,411,120
18,48,22,27,47,4,231,166
34,49,32,6,12,3,131,136
46,4,17,26,1,12,312,106
47,33,12,23,3,17,033,135
43,41,36,31,44,1,312,196
35,36,9,29,41,5,024,155
22,29,8,27,49,39,122,174
5,4,21,39,33,20,132,122
23,43,26,39,45,41,123,217
40,26,8,11,1,34,303,120
41,49,39,15,31,20,122,195
8,45,6,10,17,38,123,124
29,6,30,18,44,41,033,168
37,24,19,36,7,33,330,156
31,41,22,3,17,42,222,156
37,47,38,17,11,26,105,176
20,39,22,31,10,13,411,135
13,12,9,40,14,3,231,91
45,28,33,35,8,37,222,186
3,48,8,38,24,12,042,133
45,44,27,6,2,28,132,152
46,34,35,13,31,40,501,199
1,38,24,44,46,35,213,188
34,20,43,12,29,48,222,186
41,34,37,16,7,30,411,165
38,33,29,1,6,40,222,147
43,13,46,28,9,44,411,183
8,3,41,2,20,23,015,97
5,11,19,27,14,12,123,88
32,20,19,42,30,3,132,146
43,47,26,39,17,21,123,193
1,27,8,6,5,3,132,50
41,2,33,13,46,29,213,164
19,49,11,7,15,44,212,145
22,33,30,3,47,38,132,173
21,40,10,35,37,43,411,186
33,19,14,40,49,43,311,198
33,36,28,31,32,26,222,186
9,10,25,40,29,34,411,147
49,13,45,19,46,25,410,197
41,45,12,16,9,6,141,129
7,32,17,11,1,25,303,93
41,14,46,44,15,42,123,202
38,37,27,36,20,39,132,197
26,49,1,22,46,28,401,172
17,39,42,27,9,25,141,159
45,1,33,20,5,38,123,142
8,46,24,27,40,2,222,147
17,7,48,49,41,34,212,196
18,44,49,10,48,14,122,183
45,7,29,18,36,16,231,151
27,20,38,13,16,46,312,160
45,49,48,24,13,30,140,209
10,33,8,41,48,21,132,161
2,43,32,17,39,4,213,137
14,27,39,35,47,34,123,196
12,38,9,10,4,21,231,94
40,39,1,4,25,15,420,124
1,13,36,18,34,37,420,139
43,10,22,44,23,2,303,144
24,16,47,14,48,30,132,179
2,13,43,25,3,28,411,114
15,49,22,24,32,9,131,151
44,3,15,10,36,7,231,115
47,3,44,42,32,2,024,170
49,15,36,6,38,23,032,167
21,39,40,37,15,47,231,199
41,5,32,22,16,23,204,139
25,1,20,44,23,16,303,129
8,47,43,48,39,15,132,200
40,33,48,37,30,20,231,208
22,27,21,17,25,35,222,147
22,7,2,33,24,9,231,97
8,10,3,39,26,16,222,102
2,1,30,10,43,42,321,128
25,20,28,10,3,27,321,113
28,23,9,24,25,4,321,113
41,16,22,31,39,20,312,169
33,48,21,6,17,23,042,148
25,34,36,27,8,42,231,172
30,33,18,6,26,17,042,130
44,42,38,25,41,46,213,236
17,28,46,2,29,24,213,146
13,29,37,44,7,34,402,164
19,42,43,36,38,2,222,180
34,18,19,20,31,40,411,162
20,33,7,43,47,11,213,161
34,17,48,24,12,8,132,143
11,20,30,2,25,47,114,135
41,27,13,33,45,7,231,166
29,35,9,13,16,8,213,110
37,29,7,27,19,5,312,124
6,5,16,36,46,15,231,124
49,2,30,9,28,32,122,150
18,32,41,44,48,19,123,202
47,17,35,24,14,19,114,156
6,3,47,45,18,25,141,144
26,8,39,11,34,31,213,149
15,26,22,11,21,30,132,125
17,33,12,28,31,34,321,155
2,24,42,9,20,28,132,125
12,3,16,20,21,8,132,80
23,30,35,22,21,20,123,151
36,4,10,14,24,40,321,128
49,4,17,11,27,24,122,132
32,25,14,15,3,35,123,124
37,22,26,49,40,21,311,195
10,8,7,36,19,9,321,89
33,30,42,15,19,49,140,188
44,8,14,27,34,33,123,160
24,13,46,15,14,19,321,131
34,42,39,11,1,41,222,168
36,42,10,31,11,6,231,136
7,38,9,15,42,43,231,154
16,5,9,31,44,47,213,152
33,14,18,7,2,27,132,101
22,2,29,43,15,45,222,156
7,8,27,4,25,24,321,95
43,31,13,46,11,35,402,179
5,13,31,39,46,9,321,143
48,42,32,17,7,45,132,191
14,45,16,7,26,27,222,135
8,3,13,16,21,25,321,86
28,9,17,39,20,2,123,115
42,30,41,31,17,7,222,168
20,40,31,19,48,2,312,160
48,39,36,23,6,8,042,160
37,30,18,4,14,39,231,142
28,22,44,11,24,35,213,164
3,15,26,8,36,12,042,100
42,7,19,14,20,9,222,111
30,20,32,36,26,31,123,175
8,41,19,25,37,22,402,152
46,44,24,45,2,28,222,189
47,2,25,13,44,49,203,180
9,22,4,8,46,30,321,119
30,4,32,41,18,31,222,156
1,39,47,17,8,28,213,140
48,25,10,49,16,8,311,156
43,34,12,23,19,46,411,177
5,46,31,23,33,40,312,178
7,33,47,22,12,49,221,170
25,28,24,43,49,23,311,192
25,6,8,7,19,36,321,101
37,18,29,46,36,32,222,198
48,47,6,23,35,25,123,184
6,27,31,28,24,19,330,135
5,13,6,16,41,19,312,100
41,13,38,34,14,44,204,184
26,5,23,21,24,2,024,101
24,14,19,34,5,30,222,126
19,10,29,39,9,21,231,127
25,44,14,36,31,18,222,168
5,17,20,29,36,21,024,128
9,11,49,44,43,46,212,202
11,26,34,7,6,37,312,121
7,33,15,49,3,13,230,120
7,18,34,6,36,13,330,114
37,10,1,34,32,49,401,163
40,14,33,36,9,20,132,152
6,35,1,22,41,4,312,109
41,16,30,3,10,17,222,117
10,9,20,13,15,17,222,84
12,6,36,45,33,8,051,140
37,7,11,3,26,49,212,133
42,28,2,39,21,3,141,135
42,26,14,21,3,11,033,117
22,17,20,14,12,36,123,121
9,40,35,42,5,25,222,156
47,6,34,21,27,40,231,175
39,23,17,32,8,22,114,141
43,5,32,38,19,47,204,184
12,42,28,8,13,21,231,124
36,9,30,12,22,26,141,135
33,12,40,30,6,15,150,136
26,18,44,20,23,12,024,143
29,17,40,31,35,33,213,185
25,46,12,22,40,33,420,178
40,36,45,38,33,2,132,194
25,8,5,45,34,28,312,145
15,44,26,23,1,37,213,146
47,38,41,4,22,16,303,168
13,32,7,35,29,44,204,160
33,2,19,28,34,18,321,134
15,2,25,30,41,3,132,116
26,30,6,9,48,7,141,126
20,9,46,10,25,3,321,113
34,4,42,23,3,46,321,152
46,38,34,7,49,11,302,185
46,31,24,1,27,49,320,178
27,49,2,17,21,23,023,139
45,14,8,37,5,23,114,132
7,44,19,32,3,30,222,135
22,9,20,21,37,11,222,120
23,39,13,31,4,9,321,119
19,23,49,12,9,43,221,155
23,18,21,25,33,10,231,130
49,5,48,35,4,33,122,174
36,13,5,24,7,16,321,101
48,21,8,19,32,10,222,138
43,25,14,7,18,26,312,133
35,48,18,19,29,2,123,151
8,31,44,14,23,40,204,160
30,40,12,6,11,34,231,133
2,27,35,36,25,48,132,173
34,5,17,3,14,48,123,121
41,44,26,25,7,37,303,180
47,18,3,1,17,37,222,123
22,34,2,17,1,44,303,120
24,27,20,5,48,30,042,154
37,40,45,35,39,14,222,210
16,14,25,6,9,24,231,94
4,1,47,44,17,30,213,143
2,3,1,44,15,27,132,92
17,42,37,47,48,29,123,220
44,45,7,35,3,20,123,154
47,15,44,14,32,39,024,191
26,49,24,14,2,46,113,161
26,38,48,29,42,17,024,200
48,25,47,24,3,1,231,148
20,42,39,40,26,23,123,190
39,19,41,12,17,31,222,159
38,41,30,14,44,28,114,195
32,14,35,5,9,41,015,136
45,11,29,24,23,12,033,144
22,5,3,42,27,4,231,103
44,7,43,34,13,14,402,155
11,28,44,47,30,41,114,201
30,7,33,3,19,42,240,134
48,25,23,34,12,22,321,164
19,48,30,9,49,20,131,175
42,14,19,45,6,46,231,172
24,15,2,27,10,9,141,87
5,36,22,47,21,16,222,147
14,1,22,7,40,3,411,87
39,42,30,35,15,20,042,181
32,30,36,1,3,45,141,147
22,47,2,15,45,40,222,171
20,25,42,1,47,11,213,146
18,16,25,3,47,33,231,142
33,11,5,13,24,42,132,128
10,32,25,35,7,4,402,113
5,47,6,20,37,26,114,141
25,15,31,18,46,41,321,176
42,5,40,15,1,26,222,129
2,26,24,46,29,12,123,139
42,13,11,20,27,35,123,148
36,2,24,19,18,47,132,146
39,11,34,27,44,30,132,185
19,35,49,30,11,29,113,173
45,27,22,35,38,14,123,181
2,24,32,18,28,23,123,127
25,43,36,17,8,12,222,141
45,21,4,11,14,5,123,100
45,40,30,37,24,7,330,183
30,18,45,16,14,27,141,150
47,19,38,25,37,7,402,173
12,48,30,26,19,16,231,151
17,1,45,15,25,33,231,136
4,48,1,45,36,33,240,167
7,1,13,3,6,17,321,47
7,36,18,42,22,4,330,129
3,22,45,38,8,28,222,144
33,28,26,37,17,43,312,184
47,41,6,23,11,4,114,132
39,9,2,46,38,32,123,166
36,23,20,1,13,5,213,98
7,15,28,43,6,5,321,104
21,16,28,10,38,49,311,162
20,31,28,25,22,18,411,144
6,24,42,17,36,37,141,162
14,26,21,33,6,31,132,131
37,31,48,30,21,10,330,177
40,11,23,46,43,3,312,166
49,14,9,17,5,48,023,142
6,23,4,42,45,47,132,167
42,39,11,4,31,3,231,130
27,1,24,8,3,15,141,78
36,31,6,15,48,3,150,139
