b1,b2,b3,b4,b5,b6,none_T100,green_T100,red_T100,blue_T100,none_LD,green_LD,red_LD,blue_LD,colours,total
27,32,7,20,34,16,21,25,28,26,3,1,0,2,312,136
4,21,3,36,32,6,21,25,28,26,4,0,1,3,141,102
37,5,31,47,21,8,21,25,27,27,5,1,2,0,213,149
3,39,27,41,4,35,21,25,27,27,6,0,3,1,132,149
28,9,36,5,3,11,21,26,27,26,7,0,4,2,132,92
7,27,8,22,29,19,21,26,27,26,8,1,0,3,312,112
42,39,10,26,17,48,21,27,26,26,9,0,1,4,132,182
34,9,27,1,23,12,21,28,25,26,10,0,2,5,231,106
10,24,21,23,17,5,21,28,25,26,11,1,3,0,123,100
5,47,34,39,26,13,21,28,25,26,12,2,4,0,213,164
26,13,28,47,10,7,21,28,25,26,13,3,0,1,402,131
4,16,39,31,43,35,21,28,25,26,14,4,0,2,411,168
27,28,40,2,36,37,21,27,26,26,15,5,0,3,321,170
9,23,44,40,45,48,20,28,26,26,16,0,1,4,132,209
43,12,42,37,4,17,20,28,27,25,17,1,0,5,321,155
49,14,15,41,46,17,20,28,26,26,18,2,1,0,113,182
24,23,6,40,10,22,19,28,27,26,19,3,0,1,321,125
12,32,4,48,5,40,20,28,26,26,0,4,1,2,222,141
17,33,4,10,40,2,20,27,27,26,1,5,0,3,312,106
46,37,6,32,10,38,20,26,28,26,2,6,0,4,312,169
34,4,30,41,12,26,21,26,28,25,0,7,1,5,222,147
14,16,32,44,41,8,21,26,28,25,1,8,2,0,105,155
39,32,28,1,38,30,22,26,27,25,0,9,3,1,222,168
14,22,35,19,42,49,23,26,26,25,0,10,4,2,212,181
13,4,26,36,40,32,23,25,27,25,1,11,0,3,312,151
9,36,34,33,23,43,23,26,27,24,2,0,1,4,231,178
27,1,31,22,40,11,22,26,28,24,3,1,0,5,411,132
33,10,22,11,9,27,22,27,28,23,4,0,1,6,231,112
43,20,8,5,32,1,22,27,27,24,5,1,2,0,204,109
23,18,31,1,21,10,22,26,28,24,6,2,0,1,321,104
20,25,48,30,27,37,22,27,28,23,7,0,1,2,231,187
6,38,33,40,25,10,22,27,29,22,8,1,0,3,321,152
11,42,13,12,30,47,21,28,29,22,9,0,1,4,132,155
45,13,4,17,3,21,21,28,29,22,10,0,2,5,231,103
10,9,26,28,2,12,21,28,29,22,0,1,3,6,222,87
43,27,9,37,2,30,21,29,28,22,1,0,4,7,231,148
5,34,45,24,44,49,21,29,28,22,0,1,5,8,122,201
42,7,35,25,11,2,21,28,28,23,1,2,6,0,213,122
44,18,6,40,49,13,22,28,27,23,0,3,7,1,221,170
22,48,46,12,33,41,22,28,27,23,1,0,8,2,231,202
9,3,34,10,5,4,21,28,28,23,2,1,0,3,321,65
3,28,6,7,36,34,22,28,28,22,0,2,1,4,330,114
18,16,1,9,48,20,22,29,28,21,1,0,2,5,231,112
27,26,2,34,4,33,23,29,27,21,0,1,3,6,222,126
36,43,24,40,26,14,23,29,27,21,0,2,4,7,222,183
19,42,32,6,33,29,23,29,27,21,1,0,5,8,132,161
41,8,32,33,6,36,23,29,27,21,0,1,6,9,033,156
38,41,18,43,25,11,23,28,27,22,1,2,7,0,213,176
40,49,36,34,8,14,24,27,27,22,0,3,8,1,212,181
18,20,2,1,7,11,24,26,27,23,1,4,9,0,213,59
10,18,45,32,49,21,24,27,27,22,2,0,10,1,131,175
18,28,48,30,19,32,23,28,27,22,3,0,11,2,231,175
9,13,37,46,28,34,23,28,27,22,4,1,0,3,510,167
10,33,32,38,1,43,23,28,28,21,5,2,0,4,312,157
29,34,42,8,5,13,23,28,27,22,6,3,1,0,213,131
5,9,34,42,16,48,22,29,27,22,7,0,2,1,231,154
35,45,28,26,13,24,22,29,27,22,0,1,3,2,222,171
20,35,37,12,32,15,22,28,27,23,1,2,4,0,123,151
9,17,36,14,22,7,23,27,27,23,0,3,5,1,222,105
20,30,45,43,25,2,23,27,27,23,0,4,6,2,222,165
35,31,44,45,7,4,23,26,28,23,1,5,0,3,312,166
19,44,39,36,47,25,24,25,28,23,0,6,1,4,222,210
8,35,3,28,1,16,23,25,29,23,1,7,0,5,312,91
49,38,46,23,4,44,22,25,29,24,2,8,1,0,203,204
10,45,35,11,47,28,22,25,28,25,3,9,2,0,213,176
3,24,16,18,7,25,23,24,28,25,0,10,3,1,330,93
10,20,7,15,16,17,22,24,29,25,1,11,0,2,312,85
37,5,47,42,30,12,22,25,29,24,2,0,1,3,132,173
46,29,45,27,6,49,22,26,29,23,3,0,2,4,131,202
32,9,12,29,7,40,23,26,28,23,0,1,3,5,222,129
23,37,43,17,30,15,24,25,28,23,0,2,4,6,222,165
31,20,4,27,29,49,25,25,28,22,0,3,5,7,212,160
13,21,1,37,46,45,25,25,29,21,1,4,0,8,420,163
7,35,19,47,32,11,25,25,29,21,2,5,1,0,204,151
4,44,26,25,36,48,26,24,29,21,0,6,2,1,222,183
1,34,26,37,3,30,26,24,30,20,1,7,0,2,321,131
42,29,32,40,2,39,25,24,30,21,2,8,1,0,123,184
35,36,42,20,2,13,24,24,30,22,3,9,2,0,123,148
19,28,46,23,39,5,24,24,30,22,4,10,0,1,312,160
39,14,13,6,27,15,24,25,29,22,5,0,1,2,141,114
12,19,36,11,32,24,24,26,29,21,6,0,2,3,132,134
37,17,46,23,8,21,24,26,28,22,7,1,3,0,213,152
23,38,24,32,45,48,25,26,27,22,0,2,4,1,033,210
45,44,1,23,2,8,25,26,27,22,1,3,5,0,114,123
6,15,30,42,39,32,25,26,27,22,2,0,6,1,051,164
1,5,13,14,29,16,26,26,26,22,0,1,7,2,303,78
12,11,43,33,36,8,26,27,25,22,1,0,8,3,132,143
7,43,48,22,23,5,26,27,25,22,2,1,0,4,312,148
