b1,b2,b3,b4,b5,b6,none_T100,green_T100,red_T100,blue_T100,none_LD,green_LD,red_LD,blue_LD,colours,total
44,8,15,42,19,40,20,28,23,29,0,2,5,1,222,168
1,33,44,11,10,20,20,27,23,30,1,3,6,0,213,119
47,14,40,26,11,21,20,27,23,30,2,4,7,0,114,159
11,16,41,34,30,15,21,27,23,29,0,5,8,1,222,147
13,39,42,29,34,41,22,27,23,28,0,6,9,2,222,198
2,27,22,33,13,15,22,28,22,28,1,0,10,3,231,112
11,48,12,18,29,15,22,29,22,27,2,0,11,4,042,133
31,44,38,39,30,29,22,29,22,27,3,1,12,0,123,211
16,27,30,3,36,25,22,30,21,27,4,0,13,1,240,137
43,46,33,24,8,14,22,30,21,27,0,1,14,2,222,168
11,38,14,28,48,46,22,30,21,27,1,2,15,0,213,185
26,33,31,10,6,3,22,31,21,26,2,0,16,1,231,109
23,30,31,17,2,48,22,31,20,27,3,1,17,0,123,151
36,33,4,23,2,13,23,31,20,26,0,2,18,1,222,111
7,47,20,35,29,26,23,30,20,27,1,3,19,0,105,164
43,34,46,35,8,2,23,30,20,27,0,4,20,1,303,168
23,39,13,1,12,7,22,30,21,27,1,5,0,2,321,95
48,38,10,32,19,3,23,30,21,26,0,6,1,3,222,150
43,2,30,31,19,29,22,30,22,26,1,7,0,4,312,154
15,46,45,29,34,44,23,29,22,26,0,8,1,5,222,213
40,1,21,5,4,14,23,29,22,26,1,9,0,6,312,85
24,19,11,32,4,41,23,28,22,27,2,10,1,0,213,131
8,36,23,46,21,47,23,28,22,27,3,11,2,0,123,181
13,18,14,44,7,6,24,28,21,27,0,12,3,1,222,102
25,10,12,29,4,6,24,28,22,26,1,13,0,2,321,86
25,35,31,30,24,7,24,28,22,26,2,14,0,3,321,152
34,45,20,25,10,26,24,28,22,26,3,15,0,4,312,160
27,28,11,38,19,33,25,27,22,26,0,16,1,5,222,156
21,12,19,14,18,24,25,27,22,26,1,0,2,6,141,108
40,31,44,36,30,22,25,27,22,26,2,1,0,7,321,203
37,41,23,7,31,18,25,27,22,26,3,2,0,8,312,157
45,47,43,25,48,35,26,27,21,26,0,3,1,9,222,243
32,24,47,29,49,1,26,27,20,27,1,4,2,0,113,182
7,25,34,1,43,44,26,26,21,27,2,5,0,1,501,154
25,7,27,17,36,5,27,25,21,27,0,6,1,2,222,117
47,14,31,41,16,17,26,25,21,28,1,7,2,0,204,166
26,11,33,17,36,42,27,25,21,27,0,8,3,1,033,165
23,11,10,42,12,1,27,25,21,27,0,9,4,2,222,99
40,42,38,37,46,48,27,25,22,26,1,10,0,3,321,251
8,26,27,10,48,24,27,26,22,25,2,0,1,4,132,143
15,1,29,33,7,43,26,26,23,25,3,1,0,5,321,128
24,13,10,27,6,37,26,26,23,25,0,2,1,6,330,117
26,48,24,27,35,15,25,27,23,25,1,0,2,7,042,175
45,37,30,35,5,23,25,27,23,25,2,1,3,0,123,175
19,12,47,37,30,20,26,26,23,25,0,2,4,1,222,165
47,13,21,23,42,48,26,26,23,25,1,0,5,2,132,194
38,40,23,8,29,42,25,26,23,26,2,1,6,0,114,180
31,13,45,15,42,6,24,27,23,26,3,0,7,1,240,152
44,36,15,8,6,26,25,27,23,25,0,1,8,2,033,135
30,4,33,47,34,42,25,28,23,24,1,0,9,3,231,190
20,39,44,33,43,22,26,28,22,24,0,1,10,4,222,201
26,12,28,34,40,44,26,28,22,24,1,2,0,5,312,184
43,6,36,46,30,29,26,29,22,23,2,0,1,6,231,190
5,22,28,8,4,30,25,29,23,23,3,1,0,7,312,97
43,19,31,9,24,22,25,28,24,23,4,2,0,8,420,148
8,10,26,31,49,21,26,28,23,23,0,3,1,9,212,145
34,1,24,41,37,23,26,28,23,23,1,4,0,10,312,160
7,32,28,43,3,12,26,27,24,23,2,5,0,11,321,125
42,41,38,45,5,10,26,27,24,23,3,6,1,0,123,181
18,17,24,1,19,27,25,28,24,23,4,0,2,1,231,106
20,26,49,37,25,29,24,28,24,24,5,1,3,0,203,186
12,28,5,35,11,30,24,28,23,25,6,2,4,0,123,121
2,11,23,27,12,5,24,28,23,25,7,3,5,0,024,80
46,5,32,25,24,36,25,28,23,24,0,4,6,1,222,168
8,33,15,26,27,44,26,28,22,24,0,5,7,2,033,153
21,37,7,47,15,31,26,27,23,24,1,6,0,3,321,158
39,31,13,43,4,6,26,27,23,24,2,7,0,4,420,136
36,38,45,31,49,7,27,27,23,23,0,8,1,5,221,206
35,36,45,18,37,39,27,27,23,23,1,0,2,6,141,210
43,33,19,24,36,42,26,28,23,23,2,0,3,7,240,197
46,23,28,6,22,40,26,27,24,23,3,1,0,8,411,165
3,22,46,33,4,7,26,26,25,23,4,2,0,9,420,115
17,49,32,2,38,1,26,26,24,24,5,3,1,0,104,139
28,26,46,15,22,19,25,26,25,24,6,4,0,1,411,156
3,2,1,21,28,10,25,26,26,23,7,5,0,2,321,65
18,37,30,14,39,33,25,26,26,23,8,0,1,3,141,171
23,32,2,13,33,35,24,26,26,24,9,1,2,0,114,138
32,12,8,5,44,39,24,25,26,25,10,2,3,0,024,140
40,13,34,3,37,30,24,24,27,25,11,3,0,1,420,157
35,19,18,10,32,22,24,24,27,25,12,4,0,2,312,136
47,6,10,14,20,19,24,23,27,26,13,5,1,0,213,116
28,15,20,33,35,23,24,23,27,26,14,6,2,0,123,154
14,26,22,13,7,37,24,23,28,25,15,7,0,1,402,119
44,32,4,30,45,24,24,23,28,25,16,0,1,2,132,179
4,22,43,8,31,35,24,22,29,25,17,1,0,3,402,143
33,19,20,47,16,18,25,22,29,24,0,2,1,4,222,153
24,6,34,14,32,28,26,21,29,24,0,3,2,5,222,138
12,20,19,26,42,1,27,20,29,24,0,4,3,6,222,120
27,8,31,36,39,4,27,20,29,24,1,0,4,7,231,145
35,47,27,48,9,49,27,20,29,24,2,0,5,8,032,215
47,16,5,42,10,14,27,20,28,25,3,1,6,0,213,134
41,45,47,31,36,38,27,20,27,26,4,2,7,0,123,238
3,48,34,14,46,27,27,20,27,26,5,0,8,1,231,172
28,11,24,38,47,22,27,20,27,26,6,1,9,0,213,170
46,3,45,16,23,49,27,20,27,26,0,2,10,1,221,182
8,29,34,7,30,15,28,20,26,26,0,3,11,2,222,123
33,32,3,29,41,13,27,20,26,27,1,4,12,0,123,151
8,42,10,6,23,11,27,20,26,27,2,5,13,0,123,100
4,43,42,38,44,12,28,19,26,27,0,6,14,1,222,183
40,48,47,27,1,3,28,20,26,26,1,0,15,2,231,166
25,5,28,40,42,10,27,20,27,26,2,1,0,3,411,150
43,4,41,31,49,24,27,20,28,25,3,2,0,4,311,192
28,45,25,8,20,1,27,20,29,24,4,3,0,5,312,127
43,31,18,4,2,41,26,20,30,24,5,4,0,6,312,139
36,6,15,34,49,13,25,21,30,24,6,0,1,7,230,153
22,31,44,10,30,27,25,20,31,24,7,1,0,8,321,164
49,44,12,13,30,6,25,20,31,24,8,0,1,9,131,154
38,47,20,41,24,35,25,20,31,24,9,1,2,0,015,205
7,35,43,48,2,45,26,19,31,24,0,2,3,1,222,180
42,1,17,2,34,8,25,19,31,25,1,3,4,0,213,104
1,2,22,17,46,35,26,19,31,24,0,4,5,1,303,123
24,8,31,32,49,27,27,18,31,24,0,5,6,2,122,171
17,14,16,43,35,4,28,18,31,23,0,6,7,3,303,129
19,27,28,25,36,18,28,18,31,23,0,7,8,4,330,153
