b1,b2,b3,b4,b5,b6,colours,total
23,41,4,37,5,43,303,153
22,17,25,43,35,36,312,178
8,26,22,42,28,17,213,143
37,14,35,27,23,32,114,168
36,38,47,2,34,21,123,178
44,41,29,11,3,26,015,154
47,44,8,22,45,42,123,208
49,8,11,23,9,29,014,129
1,11,26,12,20,45,123,115
26,37,43,19,20,45,312,190
26,39,31,15,47,49,122,207
38,35,46,16,10,39,312,184
40,48,39,31,25,26,321,209
39,11,47,18,28,43,222,186
13,6,25,20,30,39,231,133
49,41,33,23,43,24,122,213
9,35,10,33,32,20,123,139
16,28,7,17,44,3,312,115
39,24,46,29,19,15,231,172
31,26,47,12,28,32,213,176
8,47,4,23,2,21,114,105
7,25,2,12,36,41,222,123
40,19,22,43,5,34,501,163
28,18,9,4,5,27,231,91
3,24,19,2,15,25,231,88
49,43,2,27,24,31,221,176
31,4,33,27,41,7,321,143
45,11,47,36,35,9,033,183
30,24,46,27,31,41,231,199
45,20,43,39,5,34,222,186
2,21,39,45,22,8,132,137
22,30,13,25,49,5,311,144
37,31,6,11,2,27,222,114
4,26,47,19,16,37,402,149
48,16,49,40,27,26,221,206
27,36,22,1,6,15,240,107
14,17,6,25,1,47,213,110
44,25,37,7,21,26,312,160
14,5,31,16,2,43,303,111
21,16,31,43,2,46,411,159
45,2,31,16,17,18,222,129
16,24,21,37,1,32,321,131
27,34,10,41,47,3,222,162
1,47,26,24,27,14,123,139
31,44,10,5,13,43,402,146
40,28,45,27,23,43,321,206
30,46,11,5,12,20,123,124
3,38,2,13,12,44,123,112
18,14,23,24,6,15,042,100
23,5,6,46,25,36,222,141
17,32,40,10,38,15,213,152
2,13,33,17,21,47,123,133
24,47,19,13,26,15,222,144
34,32,36,23,45,38,123,208
12,11,34,28,46,31,411,162
21,3,44,29,28,30,132,155
1,12,31,45,9,14,231,112
9,34,41,22,19,30,321,155
18,39,32,17,27,2,033,135
16,11,45,40,30,23,222,165
37,4,49,33,18,12,230,153
49,18,1,43,41,6,221,158
5,3,17,38,22,32,114,117
42,18,8,26,46,27,132,167
6,24,37,46,29,2,222,144
10,47,35,22,23,15,213,152
29,21,41,34,40,27,222,192
22,38,3,6,32,5,123,106
39,14,30,6,18,43,141,150
1,11,41,2,22,36,213,113
18,35,45,15,40,39,141,192
9,18,4,38,5,45,132,119
8,31,38,35,3,24,123,139
8,6,26,18,15,27,042,100
43,24,39,10,35,49,221,200
33,19,15,39,30,48,150,184
27,15,47,23,35,14,024,161
29,35,6,31,34,27,222,162
48,2,32,15,1,18,132,116
29,42,19,44,43,26,213,203
17,20,14,29,5,47,006,132
32,33,48,35,28,18,132,194
48,25,7,18,2,11,222,111
15,9,35,2,44,1,123,106
42,36,26,11,12,15,042,142
26,39,47,27,1,42,132,182
44,40,30,14,31,7,312,166
4,6,22,25,39,27,330,123
30,3,2,9,33,49,041,126
30,31,43,48,26,42,231,220
30,45,22,15,27,5,141,144
24,49,39,31,43,4,320,190
4,40,13,29,41,45,312,172
47,6,35,24,32,36,033,180
28,24,36,29,23,21,132,161
14,11,15,6,12,31,132,89
26,33,11,8,9,4,123,91
49,22,28,46,44,21,311,210
16,37,49,27,10,42,320,181
16,15,48,22,36,14,231,151
31,30,25,37,17,46,411,186
14,45,6,15,20,26,033,126
37,40,22,11,7,32,402,149
28,22,7,4,49,2,401,112
19,16,36,22,30,3,330,126
14,11,27,25,13,21,222,111
11,49,36,22,10,24,221,152
44,17,34,30,19,8,213,152
37,40,36,26,2,41,213,182
5,8,30,34,13,37,312,127
47,26,16,20,7,22,303,138
42,3,29,11,25,49,122,159
3,48,31,38,6,44,132,170
49,44,25,42,34,4,311,198
22,13,9,5,25,39,321,113
37,8,25,47,33,36,222,186
33,13,45,47,25,39,231,202
5,3,42,49,27,37,131,163
19,3,28,46,36,29,321,161
34,23,44,42,15,4,222,162
48,9,16,2,23,38,123,136
32,49,35,5,21,45,023,187
19,16,11,21,7,42,321,116
37,38,41,39,34,28,312,217
8,15,20,46,49,6,122,144
37,35,32,3,34,4,312,145
45,18,28,46,39,9,240,185
43,29,2,15,36,27,132,152
6,26,22,38,31,13,312,136
47,14,34,45,17,5,114,162
7,27,31,10,6,40,420,121
24,7,38,45,9,13,231,136
36,37,40,31,11,21,321,176
12,31,21,26,27,18,141,135
38,11,8,34,29,9,114,129
32,4,26,30,11,33,123,136
33,12,18,22,43,46,330,174
6,5,42,32,24,47,033,156
8,32,13,46,31,1,402,131
43,19,39,3,11,8,222,123
40,17,26,14,15,23,114,135
21,38,19,23,39,18,132,158
2,32,15,37,5,40,213,131
11,38,45,19,24,35,123,172
20,32,12,7,16,3,222,90
48,14,30,2,8,28,123,130
14,39,18,19,30,36,141,156
24,10,33,6,37,4,330,114
43,40,36,49,18,12,230,198
24,40,37,21,31,3,330,156
21,5,27,2,3,42,042,100
3,13,24,15,29,12,141,96
46,26,25,7,40,12,411,156
23,18,32,36,4,30,132,143
32,41,49,38,29,8,005,197
8,3,24,21,38,18,042,112
12,34,36,41,4,47,222,174
2,37,39,33,19,23,222,153
36,42,4,48,34,19,330,183
8,1,16,23,12,43,312,103
37,19,2,28,9,29,312,124
21,43,15,41,3,13,231,136
42,24,41,11,43,14,123,175
13,29,21,24,18,43,231,148
2,40,12,48,39,30,141,171
11,21,28,12,32,18,132,122
18,44,42,25,14,21,132,164
33,5,45,15,49,12,041,159
13,47,19,1,37,2,402,119
43,6,34,36,12,35,231,166
26,1,46,44,19,3,312,139
34,27,44,13,36,20,222,174
