b1,b2,b3,b4,b5,b6,green_0,green_2p,green_3p,green_4p,green_5p,green_6,red_0,red_2p,red_3p,red_4p,red_5p,red_6,blue_0,blue_2p,blue_3p,blue_4p,blue_5p,blue_6,colours,total
16,18,20,25,15,38,2,0,5,9,44,3037,9,0,15,20,20,928,44,0,1,2,144,147,222,132
27,20,10,26,38,42,3,0,6,10,45,3038,10,1,16,21,21,929,45,0,0,3,145,148,123,163
40,24,23,27,28,41,4,0,7,11,46,3039,11,0,17,22,22,930,46,0,1,4,146,149,222,183
8,17,11,24,48,40,5,0,8,12,47,3040,12,1,18,23,23,931,47,0,0,5,147,150,123,148
41,27,47,11,49,17,7,2,10,14,49,3042,0,1,1,25,25,933,49,0,0,0,149,152,014,192
16,10,3,47,36,9,8,0,0,15,50,3043,1,0,2,26,26,934,50,1,1,1,150,153,231,121
3,1,49,48,10,23,9,0,1,16,51,3044,2,0,3,27,27,935,51,2,2,2,151,154,221,134
16,34,47,25,22,35,0,1,2,17,52,3045,3,0,0,0,28,936,52,0,3,3,152,155,402,179
39,2,4,46,7,3,1,0,3,18,53,3046,4,0,0,1,29,937,53,1,4,4,153,156,321,101
12,27,33,46,10,39,2,0,0,0,54,3047,5,0,1,2,30,938,0,2,5,5,154,157,240,167
8,38,1,25,43,44,0,1,1,1,55,3048,6,0,0,3,31,939,1,0,0,6,155,158,303,159
39,9,26,44,30,4,1,0,0,2,56,3049,7,1,1,4,32,940,2,0,1,7,156,159,132,152
47,36,49,38,15,11,2,0,1,3,57,3050,0,2,2,5,33,941,3,0,0,8,157,160,023,196
31,20,13,47,4,16,0,1,2,4,58,3051,1,0,0,0,34,942,4,0,1,9,158,161,402,131
16,3,40,34,23,36,1,0,3,5,59,3052,2,0,0,1,35,943,5,1,2,10,159,162,321,152
40,36,19,2,10,17,2,1,4,6,60,3053,3,0,0,2,36,944,6,0,3,11,160,163,312,124
13,23,32,44,16,14,0,2,5,7,61,3054,4,0,1,3,37,945,7,0,0,0,161,164,204,142
8,34,9,12,7,5,1,0,6,8,62,3055,5,0,2,4,38,946,8,0,1,1,162,165,222,75
18,27,39,20,10,36,2,0,0,0,63,3056,6,1,3,5,39,947,9,1,2,2,163,166,141,150
45,43,30,37,31,7,3,0,1,1,64,3057,7,0,0,0,40,948,0,2,3,3,164,167,420,193
32,18,4,19,2,3,4,0,2,2,65,3058,8,0,1,1,41,949,1,0,4,4,165,168,222,78
48,28,27,14,47,38,5,0,3,3,66,3059,9,1,2,2,42,950,2,0,0,5,166,169,123,202
3,15,39,29,35,38,6,0,0,4,67,3060,0,2,3,3,43,951,3,0,0,6,167,170,033,159
8,13,4,7,24,16,7,1,1,5,68,3061,1,0,0,0,44,952,4,1,1,7,168,171,411,72
23,44,28,9,42,11,8,0,2,6,69,3062,2,1,1,1,45,953,5,0,0,8,169,172,123,157
34,29,9,10,37,6,9,0,3,7,70,3063,3,0,0,2,46,954,6,1,1,9,170,173,321,125
1,29,41,5,32,25,0,1,4,8,71,3064,4,0,1,3,47,955,7,0,0,0,171,174,204,133
45,13,9,17,1,42,1,0,0,9,72,3065,5,0,2,4,48,956,8,1,1,1,172,175,231,127
15,10,36,38,44,16,2,0,1,10,73,3066,6,0,3,5,49,957,9,0,2,2,173,176,222,159
27,1,40,5,8,39,3,0,2,11,74,3067,7,0,4,6,50,958,10,0,3,3,174,177,222,120
25,48,28,34,36,24,4,0,0,12,75,3068,8,0,0,7,51,959,0,1,4,4,175,178,330,195
22,15,4,1,3,23,5,0,1,13,76,3069,9,0,0,8,52,960,1,2,5,5,176,179,321,68
18,39,49,42,32,45,6,0,0,0,77,3070,0,1,1,9,53,961,2,3,6,6,177,180,041,225
20,10,48,23,2,24,7,0,1,1,78,3071,1,2,2,10,54,962,3,0,0,7,178,181,123,127
6,39,36,31,35,32,8,0,0,2,79,3072,2,3,3,11,55,963,4,0,1,8,179,182,132,179
12,25,9,15,33,3,9,0,0,0,0,3073,3,4,4,12,56,964,0,1,2,9,180,183,150,97
46,48,43,14,16,33,10,0,1,1,1,3074,4,0,0,13,57,965,1,2,3,10,181,184,321,200
21,9,33,39,18,43,11,0,0,0,0,3075,5,1,1,14,58,966,0,3,4,11,182,185,150,163
15,26,29,28,25,11,12,1,1,1,1,3076,6,0,2,15,59,967,1,0,0,12,183,186,213,134
34,3,48,5,15,11,13,0,0,2,2,3077,7,1,3,16,60,968,2,0,1,13,184,187,132,116
45,8,22,11,13,21,14,0,1,3,3,3078,8,0,4,17,61,969,3,0,2,14,185,188,222,120
11,8,20,19,13,1,0,1,2,4,4,3079,9,0,0,18,62,970,4,0,0,15,186,189,303,72
10,32,24,23,30,33,1,0,0,5,5,3080,10,1,1,19,63,971,5,0,1,16,187,190,132,152
48,11,15,6,49,4,2,0,0,6,6,3081,11,2,2,20,64,972,6,1,2,17,188,191,131,133
