b1,b2,b3,b4,b5,b6,colours,total
35,20,3,31,21,14,123,124
6,35,25,36,29,8,123,139
42,11,47,33,10,30,132,173
7,39,1,48,31,18,330,144
2,40,13,6,8,39,222,108
1,25,46,43,22,12,510,149
3,18,11,42,12,46,141,132
10,15,11,7,42,4,321,89
4,21,44,26,1,11,213,107
21,41,27,48,43,28,231,208
37,13,40,45,4,33,420,172
34,6,21,22,32,31,321,146
3,10,42,13,23,43,321,134
39,46,28,21,18,29,231,181
11,1,31,10,47,20,303,120
1,24,16,45,9,35,231,130
12,37,18,34,27,1,330,129
8,1,32,38,35,31,204,145
16,20,32,11,26,48,114,153
4,36,2,43,21,13,321,119
48,41,44,43,7,42,222,225
46,20,16,1,22,34,501,139
46,26,28,22,13,35,402,170
47,20,11,21,34,15,123,148
28,29,49,22,32,20,203,180
48,2,4,38,29,39,123,160
39,28,30,40,31,4,420,172
9,22,31,4,12,14,321,92
15,22,30,16,13,17,321,113
49,10,17,45,13,40,311,174
38,32,36,27,44,9,033,186
9,34,8,43,37,47,312,178
32,44,49,17,15,12,023,169
10,24,17,26,25,1,312,103
21,40,25,6,3,27,240,122
46,14,40,37,41,39,312,217
40,39,26,5,30,24,132,164
14,42,15,33,17,12,042,133
9,17,46,41,42,16,222,171
22,46,42,41,23,49,212,223
42,34,11,27,41,20,123,175
18,17,37,10,28,30,321,140
19,29,41,47,25,37,303,198
26,32,24,5,35,41,015,163
17,47,10,38,32,31,204,175
5,33,12,39,13,24,141,126
31,11,14,32,34,3,213,125
9,1,42,10,43,7,420,112
21,3,36,11,22,1,231,94
30,21,24,18,2,29,042,124
1,24,14,15,48,18,141,120
44,12,23,7,10,34,312,130
35,38,31,41,46,36,213,227
29,18,38,11,39,19,123,154
12,23,8,42,9,25,132,119
12,13,25,4,19,37,510,110
19,6,5,21,9,24,141,84
23,13,8,14,17,16,204,91
15,5,38,36,20,46,123,160
27,32,14,38,48,39,033,198
26,40,33,43,10,27,321,179
23,36,7,40,35,45,222,186
16,41,12,34,32,31,312,166
18,32,1,44,28,39,222,162
16,2,23,10,26,15,213,92
24,42,29,21,11,18,042,145
10,45,4,6,34,46,420,145
38,48,19,30,39,26,132,200
21,39,3,25,44,13,231,145
48,30,9,3,11,35,042,136
38,6,30,3,40,4,231,121
29,38,27,13,28,7,312,142
6,48,27,11,8,30,042,130
18,22,27,42,46,19,330,174
33,40,41,47,23,4,213,188
2,49,29,12,24,16,122,132
44,31,25,42,14,48,222,204
28,42,32,14,12,26,123,154
16,17,36,37,20,21,222,147
40,47,37,2,42,33,222,201
11,45,1,19,14,30,222,120
45,36,32,7,21,27,141,168
17,31,22,19,37,10,501,136
11,36,10,49,15,12,131,133
45,22,13,28,16,6,420,130
33,7,4,32,14,2,213,92
32,26,6,48,11,20,024,143
39,41,38,10,44,31,213,203
41,3,14,42,10,11,123,121
43,26,49,32,5,39,113,194
10,42,29,48,30,1,231,160
31,12,47,35,48,30,132,203
34,6,48,33,18,40,240,179
3,25,9,27,46,33,240,143
46,20,18,17,43,37,312,181
46,34,49,29,30,16,311,204
22,18,6,34,30,36,240,146
15,24,2,17,32,7,123,97
27,29,47,20,39,13,123,175
15,34,17,26,33,27,132,152
34,33,10,4,36,14,321,131
39,12,21,40,16,44,231,172
36,9,29,11,31,19,222,135
9,29,30,38,47,37,123,190
29,11,30,49,40,16,212,175
27,1,11,17,46,20,213,122
12,31,17,38,34,13,312,145
36,13,24,19,1,38,321,131
34,15,41,23,20,25,213,158
17,21,34,1,25,28,411,126
38,48,46,44,16,12,222,204
10,45,47,13,15,29,222,159
15,39,12,5,46,19,231,136
39,2,11,4,16,18,222,90
28,20,29,7,13,35,303,132
38,39,10,45,9,37,231,178
1,36,30,16,13,8,321,104
15,31,35,3,32,14,123,130
13,21,12,40,16,23,321,125
31,6,46,49,47,11,212,190
23,30,15,9,14,18,042,109
13,49,35,15,12,32,122,156
31,21,30,7,47,39,231,175
34,40,47,23,13,25,402,182
33,15,35,47,30,7,132,167
12,37,49,45,30,24,140,197
47,6,48,34,15,46,231,196
33,9,40,30,32,35,132,179
46,13,6,15,26,30,231,136
21,1,24,3,23,30,141,102
6,46,45,17,1,25,321,140
12,6,7,18,13,14,231,70
12,19,8,15,3,43,231,100
7,31,19,9,10,33,420,109
29,10,32,45,13,24,222,153
6,21,27,46,7,23,231,130
28,16,35,5,18,22,312,124
16,15,7,37,25,44,411,144
14,2,28,44,9,10,213,107
28,29,31,38,18,23,213,167
43,26,4,49,20,13,302,155
44,32,5,13,3,42,123,139
9,47,13,29,42,49,122,189
24,16,23,19,17,14,213,113
23,10,42,43,45,13,321,176
43,10,38,47,35,25,303,198
29,7,46,43,27,5,312,157
25,28,29,2,30,1,312,115
37,21,16,19,47,5,312,145
1,9,38,24,44,23,123,139
32,10,45,34,22,8,312,151
22,25,47,14,8,39,213,155
24,16,9,4,10,7,420,70
37,24,19,13,5,18,321,116
13,29,42,37,14,23,213,158
48,5,32,44,9,13,123,151
17,48,10,37,49,1,311,162
13,32,29,28,20,47,204,169
4,43,30,25,6,17,321,125
5,3,25,38,7,30,222,108
39,25,11,46,27,45,231,193
1,47,25,19,13,28,501,133
3,4,28,9,15,43,330,102
24,22,44,15,26,19,222,150
40,9,7,8,30,10,321,104
18,13,17,44,1,35,213,128
9,2,38,5,20,6,024,80
6,42,5,43,34,2,222,132
17,37,15,19,40,22,411,150
35,34,33,4,1,7,411,114
43,26,27,38,6,21,132,161
41,25,6,16,21,26,222,135
18,20,24,5,26,29,024,122
3,9,22,1,24,46,330,105
37,39,41,13,48,38,222,216
15,44,5,11,48,47,024,170
16,25,6,11,4,12,321,74
14,44,24,8,7,16,213,113
23,29,14,7,28,11,204,112
42,36,1,25,27,6,240,137
49,34,46,44,47,24,212,244
47,16,35,15,24,23,123,160
31,27,21,47,46,16,321,188
26,8,2,18,46,28,213,128
28,9,15,49,42,24,140,167
16,40,23,49,48,3,221,179
43,25,26,48,5,22,312,169
38,17,26,48,41,36,024,206
42,9,1,7,23,11,222,93
30,15,35,44,39,38,033,201
6,41,35,2,44,39,024,167
18,26,31,40,49,36,221,200
26,19,49,28,7,1,401,130
18,10,37,41,29,13,312,148
16,17,13,3,34,48,321,131
4,36,47,46,41,39,222,213
37,13,2,31,25,36,411,144
35,21,26,16,24,27,132,149
36,20,43,19,49,35,212,202
40,11,25,43,19,21,411,159
38,16,6,48,44,24,132,176
39,7,29,24,28,2,222,129
31,21,28,22,17,3,321,122
48,13,19,9,47,35,222,171
8,42,6,18,49,9,041,132
35,31,3,42,40,17,222,168
22,17,27,26,41,15,123,148
7,45,41,24,34,11,222,162
1,19,37,18,27,49,320,151
25,38,11,8,6,21,123,109
6,1,14,8,44,32,114,105
28,24,26,29,8,21,123,136
37,18,7,24,36,38,231,160
42,33,4,5,15,45,141,144
11,7,19,14,22,5,303,78
43,49,22,36,34,15,320,199
11,25,29,13,2,17,204,97
46,16,14,3,39,49,221,167
7,25,43,46,6,34,510,161
43,3,11,37,20,35,213,149
23,16,18,35,12,45,132,149
40,11,44,7,47,30,213,179
47,33,27,6,10,42,141,165
20,19,39,43,46,17,312,184
26,46,20,48,45,2,123,187
16,38,22,10,24,19,411,129
36,21,49,32,23,22,122,183
33,1,30,10,7,29,321,110
46,5,31,38,8,17,204,145
11,22,40,1,16,39,411,129
13,10,16,19,24,26,411,108
17,23,16,47,45,15,123,163
20,12,25,15,21,23,132,116
29,7,6,31,16,10,411,99
28,36,4,5,10,16,411,99
34,15,10,36,23,41,222,159
20,3,9,44,26,32,024,134
12,11,44,21,8,18,033,114
16,28,38,12,6,15,231,115
37,48,41,16,10,47,312,199
4,46,49,17,8,38,203,162
46,34,38,15,43,36,321,212
34,18,7,12,24,33,240,128
45,9,33,41,47,31,132,206
29,40,14,28,34,13,402,158
18,34,37,43,1,30,420,163
23,32,48,45,46,34,222,228
44,16,2,42,47,17,114,168
35,36,46,39,16,32,222,204
32,38,23,43,27,21,123,184
28,29,33,22,37,2,312,151
22,49,23,2,14,9,113,119
26,42,4,8,2,7,213,89
