b1,b2,b3,b4,b5,b6,none_T100,green_T100,red_T100,blue_T100,none_LD,green_LD,red_LD,blue_LD,colours,total
29,8,49,48,17,1,29,25,21,25,8,3,1,0,113,152
37,34,25,18,13,36,29,25,22,24,9,4,0,1,420,163
20,15,31,28,46,35,29,24,23,24,10,5,0,2,312,175
29,4,33,47,34,37,29,24,23,24,11,6,0,3,312,184
5,40,33,23,41,15,29,23,23,25,12,7,1,0,123,157
24,11,12,8,34,4,30,23,22,25,0,8,2,1,222,93
48,9,35,6,36,37,30,24,21,25,1,0,3,2,141,171
15,27,46,16,18,21,30,25,20,25,2,0,4,3,240,143
5,37,15,16,18,6,30,25,20,25,3,0,5,4,231,97
2,30,26,1,3,6,30,25,20,25,4,0,6,5,132,68
7,29,43,2,30,20,30,25,20,25,5,1,7,0,213,131
32,23,33,49,47,14,29,25,20,26,6,2,8,0,014,198
30,18,6,1,12,28,29,25,20,26,7,0,9,1,240,95
24,39,9,1,46,23,28,26,20,26,8,0,10,2,231,142
42,39,25,38,6,20,27,27,20,26,9,0,11,3,132,170
35,46,34,23,10,29,27,27,20,26,0,1,12,4,303,177
2,29,8,10,4,48,27,27,20,26,1,2,13,0,213,101
36,32,8,48,45,39,27,28,20,25,2,0,14,1,042,208
26,25,18,12,21,3,26,29,20,25,3,0,15,2,141,105
12,7,32,2,10,11,26,29,20,25,4,1,16,0,213,74
43,18,17,1,7,34,26,29,21,24,5,2,0,1,411,120
26,46,40,35,33,16,26,29,22,23,6,3,0,2,312,196
32,45,6,37,46,47,27,29,22,22,0,4,1,3,222,213
48,19,13,3,16,23,27,29,22,22,1,5,0,4,321,122
15,18,5,22,35,28,28,28,22,22,0,6,1,5,222,123
36,38,24,48,23,46,27,29,22,22,1,0,2,6,132,215
19,46,5,26,6,15,28,29,21,22,0,1,3,7,222,117
44,36,33,22,19,31,27,29,22,22,1,2,0,8,321,185
4,18,12,16,7,47,27,28,23,22,2,3,0,9,321,104
30,45,37,27,44,41,27,28,23,22,3,0,1,10,132,224
15,49,41,19,7,20,28,28,23,21,0,1,2,11,212,151
40,38,47,7,34,25,27,28,24,21,1,2,0,12,402,191
29,15,43,21,18,49,27,29,24,20,2,0,1,13,131,175
9,5,31,23,20,15,27,28,24,21,3,1,2,0,123,103
44,42,31,7,30,37,27,27,25,21,4,2,0,1,321,191
9,38,12,35,39,47,28,26,25,21,0,3,1,2,033,180
25,40,31,9,5,49,28,25,26,21,1,4,0,3,311,159
12,14,15,17,1,39,28,26,25,21,2,0,1,4,132,98
30,44,48,41,12,11,28,26,25,21,0,1,2,5,033,186
22,44,11,33,13,37,28,26,26,20,1,2,0,6,312,160
41,11,48,9,4,32,28,26,25,21,2,3,1,0,123,145
47,10,42,20,4,25,28,26,25,21,3,4,0,1,312,148
1,10,48,18,32,27,28,27,25,20,4,0,1,2,231,136
43,14,15,22,37,36,28,26,26,20,5,1,0,3,321,167
14,23,48,24,42,16,28,27,26,19,6,0,1,4,132,167
42,22,14,39,7,29,29,26,26,19,0,1,2,5,222,153
11,25,23,12,27,20,29,26,26,19,1,2,3,0,123,118
1,9,25,26,18,17,29,26,26,19,0,3,4,1,222,96
24,35,43,28,4,2,29,26,26,19,1,4,0,2,312,136
1,38,32,47,44,49,29,26,25,20,2,5,1,0,104,211
5,49,11,17,32,39,29,25,25,21,3,6,2,0,014,153
7,48,17,24,35,6,29,26,24,21,4,0,3,1,132,137
47,30,2,15,10,41,29,26,24,21,5,1,4,0,123,145
38,40,10,36,43,28,28,26,25,21,6,2,0,1,411,195
13,26,15,37,42,23,28,26,25,21,0,3,1,2,222,156
18,33,10,20,24,31,28,27,24,21,1,0,2,3,231,136
30,24,28,41,43,17,28,27,24,21,0,1,3,4,222,183
19,41,35,38,7,16,29,27,23,21,0,2,4,5,303,156
9,29,41,7,5,8,29,27,23,21,1,3,5,0,114,99
16,18,21,43,34,31,28,27,24,21,2,4,0,1,420,163
37,46,25,6,12,17,27,27,25,21,3,5,0,2,321,143
7,3,6,29,43,34,27,27,26,20,4,6,0,3,321,122
36,39,49,43,14,11,28,27,26,19,0,7,1,4,122,192
27,23,41,14,4,26,28,26,26,20,1,8,2,0,114,135
28,26,15,6,45,2,27,27,26,20,2,0,3,1,132,122
37,26,17,1,46,27,27,26,27,20,3,1,0,2,312,154
43,49,22,27,25,44,26,26,28,20,4,2,0,3,311,210
42,8,33,32,14,28,25,26,28,21,5,3,1,0,123,157
9,27,12,25,30,19,29,19,31,21,4,0,3,2,240,122
10,22,23,32,33,34,27,24,24,25,5,1,0,4,312,154
