b1,b2,b3,b4,b5,b6,colours,total
48,17,26,10,2,32,114,135
46,31,49,45,2,6,221,179
30,41,37,5,8,16,213,137
42,27,8,10,29,18,132,134
34,2,22,44,24,47,213,173
36,37,38,14,45,47,123,217
43,14,4,15,24,6,231,106
47,39,40,48,17,4,222,195
38,47,20,5,49,10,104,169
46,39,31,19,34,4,510,173
5,22,40,15,27,24,231,133
33,12,19,29,39,41,132,173
45,15,13,26,7,20,222,126
39,33,28,2,46,11,222,159
20,30,27,22,37,8,222,144
11,23,38,12,16,41,114,141
36,8,13,2,21,30,132,110
46,13,24,15,35,22,321,155
47,21,32,34,6,35,123,175
16,37,40,19,11,33,411,156
27,43,36,17,20,29,123,172
14,18,47,41,11,48,024,179
40,32,25,44,2,17,204,160
40,23,16,26,22,36,312,163
7,11,12,39,23,31,222,123
5,49,48,36,14,35,023,187
31,9,39,25,24,21,240,149
12,25,42,1,34,19,420,133
34,29,28,44,45,37,312,217
44,40,26,27,22,20,213,179
24,27,3,44,45,21,051,164
36,12,14,41,40,46,222,189
15,12,30,42,26,7,141,132
43,39,25,26,21,23,222,177
38,29,9,4,6,27,132,113
32,4,37,42,14,1,312,130
48,8,23,15,31,35,123,160
25,46,12,47,32,14,213,176
3,46,45,2,48,13,231,157
23,32,42,20,12,30,033,159
5,8,26,31,35,16,204,121
38,2,22,8,11,46,204,127
41,26,11,8,22,29,105,137
46,19,47,4,38,32,303,186
22,48,47,10,28,20,312,175
17,41,6,8,18,46,123,136
3,18,27,29,31,35,132,143
25,11,6,16,36,43,321,137
10,17,5,45,46,4,312,127
12,23,25,5,49,48,122,162
49,14,46,43,48,37,311,237
43,8,17,44,32,21,114,165
27,35,3,34,10,12,231,121
26,32,45,15,41,46,123,205
32,17,9,27,5,4,123,94
25,16,19,9,12,37,420,118
35,30,10,13,34,3,321,125
37,44,48,41,38,3,123,211
23,1,3,45,17,46,222,135
44,3,38,7,10,14,213,116
45,25,26,35,7,17,213,155
22,44,1,10,17,13,402,107
34,39,32,5,7,22,312,139
25,28,39,41,14,33,222,180
18,33,47,44,12,3,042,157
5,47,29,46,19,24,213,170
16,4,6,12,30,1,330,69
19,22,33,17,42,48,231,181
46,49,7,48,38,15,221,203
16,13,23,11,24,37,312,124
45,10,49,5,33,4,221,146
10,23,18,38,26,30,123,145
16,45,7,48,18,9,240,143
30,43,4,19,1,34,510,131
38,24,25,15,5,33,132,140
43,19,4,12,44,13,411,135
1,35,11,45,32,16,213,140
15,29,43,45,48,27,141,207
38,25,16,11,33,2,213,125
8,2,37,49,11,27,113,134
13,36,35,12,37,3,231,136
37,18,47,2,38,9,123,151
10,29,25,45,30,1,321,140
29,46,30,40,35,33,222,213
13,27,17,12,35,1,222,105
25,4,38,35,3,13,312,118
5,33,8,1,4,47,213,98
29,41,19,8,5,40,204,142
44,37,21,38,46,39,222,225
26,22,28,37,27,9,321,149
45,17,32,9,15,13,132,131
49,12,26,29,47,44,014,207
38,30,33,37,13,15,231,166
10,31,49,12,32,41,212,175
49,4,18,43,7,23,311,144
28,3,33,46,43,45,330,198
9,15,31,22,25,21,330,123
31,10,22,36,18,14,321,131
6,45,11,43,28,29,222,162
10,4,48,33,37,22,420,154
5,49,44,12,16,46,212,172
9,42,25,17,27,28,231,148
18,2,40,6,13,44,222,123
19,30,2,15,36,37,231,139
30,23,29,16,19,42,222,159
21,30,26,48,28,41,132,194
11,7,46,17,41,37,303,159
28,12,35,10,21,1,321,107
36,40,10,2,42,48,231,178
25,8,12,23,45,34,222,147
19,42,40,30,45,25,330,201
4,31,14,8,47,17,204,121
13,49,46,16,38,22,401,184
34,5,23,37,36,31,312,166
5,40,9,49,18,45,131,166
3,20,37,7,1,43,411,111
38,2,17,21,4,1,213,83
10,45,39,21,27,48,150,190
48,15,18,32,43,41,132,197
15,41,43,9,3,33,141,144
24,3,33,42,40,31,240,173
13,19,11,49,9,32,212,133
17,7,3,35,40,30,222,132
48,42,18,24,4,16,240,152
1,48,43,42,21,44,231,199
9,34,7,43,46,16,510,155
3,35,40,20,26,27,123,151
23,27,42,41,22,29,123,184
36,11,21,15,32,27,042,142
34,16,1,18,44,36,321,149
24,10,45,30,28,19,330,156
10,25,20,26,12,44,213,137
25,44,5,7,9,22,312,112
39,3,37,2,45,9,141,135
39,41,31,12,34,37,321,194
36,11,26,6,40,31,222,150
26,29,39,48,18,33,042,193
5,31,20,18,44,26,114,144
29,44,24,31,47,20,114,195
12,11,7,15,36,5,132,86
10,2,1,35,32,7,303,87
20,24,35,18,46,8,123,151
46,18,8,47,21,2,123,142
32,20,1,15,34,12,222,114
5,22,36,14,27,38,123,142
8,5,27,30,47,37,123,154
42,13,9,49,37,35,221,185
32,7,43,16,1,37,501,136
44,39,21,33,45,31,141,213
16,10,42,6,11,2,222,87
47,6,24,13,21,8,132,119
22,19,18,5,27,16,321,107
2,11,39,30,23,13,123,118
3,41,43,40,39,42,231,208
45,9,44,42,28,16,231,184
6,29,9,47,27,36,042,154
28,17,9,45,16,26,222,141
27,11,20,48,34,12,132,152
21,7,26,14,47,23,114,138
48,5,44,17,38,27,024,179
25,48,13,16,30,42,330,174
9,30,8,20,24,42,042,133
10,28,46,38,29,34,402,185
12,5,29,3,28,36,132,113
1,21,13,35,25,32,312,127
27,30,3,8,39,7,141,114
33,36,45,8,20,25,132,167
10,30,7,8,21,12,231,88
32,18,48,16,13,37,321,164
24,49,47,25,9,45,131,199
1,44,24,48,21,10,231,148
29,49,47,33,7,16,212,181
48,9,13,42,46,39,240,197
34,27,28,35,37,38,312,199
47,35,37,15,1,16,312,151
38,42,48,29,7,37,222,201
39,34,43,23,35,21,222,195
4,13,18,17,41,30,222,123
47,5,7,46,25,31,402,161
30,25,46,31,29,48,321,209
44,17,42,47,39,26,024,215
20,33,1,28,19,18,321,119
