b1,b2,b3,b4,b5,b6,green_0,green_2p,green_3p,green_4p,green_5p,green_6,red_0,red_2p,red_3p,red_4p,red_5p,red_6,blue_0,blue_2p,blue_3p,blue_4p,blue_5p,blue_6,colours,total
20,6,32,7,45,18,43,0,0,12,275,1255,12,1,6,13,251,2170,13,0,1,4,101,2801,132,128
29,12,10,37,39,42,44,0,0,13,276,1256,13,0,7,14,252,2171,14,1,2,5,102,2802,231,169
25,20,22,5,39,42,45,0,1,14,277,1257,14,0,8,15,253,2172,15,0,3,6,103,2803,222,153
37,27,19,45,47,12,46,0,0,15,278,1258,15,0,9,16,254,2173,16,1,4,7,104,2804,231,187
35,44,42,28,15,29,47,0,1,16,279,1259,16,1,10,17,255,2174,17,0,0,8,105,2805,123,193
27,1,48,4,10,24,48,0,0,17,280,1260,17,0,0,18,256,2175,0,1,1,9,106,2806,330,114
26,2,32,13,25,35,0,1,1,18,281,1261,18,0,1,19,257,2176,1,0,0,0,107,2807,204,133
30,13,9,21,29,22,1,0,0,19,282,1262,19,0,2,20,258,2177,2,1,1,1,108,2808,231,124
33,17,38,3,25,29,2,0,1,20,283,1263,20,1,3,21,259,2178,3,0,0,2,109,2809,123,145
23,26,38,28,32,15,3,1,2,21,284,1264,21,2,4,22,260,2179,4,0,0,0,110,2810,114,162
28,41,12,3,23,17,4,0,3,22,285,1265,22,3,5,23,261,2180,5,0,0,1,111,2811,123,124
47,32,25,29,5,49,0,1,4,23,286,1266,23,4,6,24,262,2181,6,0,0,0,112,2812,104,187
4,36,31,13,28,44,1,2,5,24,287,1267,24,0,0,0,263,2182,7,1,1,1,113,2813,411,156
36,14,16,11,23,33,2,0,6,25,288,1268,25,1,1,1,264,2183,8,0,0,2,114,2814,123,133
7,4,12,38,37,20,3,1,7,26,289,1269,26,0,0,2,265,2184,9,0,1,3,115,2815,312,118
24,35,12,30,6,4,4,0,0,0,290,1270,27,1,1,3,266,2185,10,1,2,4,116,2816,141,111
49,15,40,24,37,8,5,0,1,1,291,1271,28,0,2,4,267,2186,11,2,3,5,117,2817,221,173
41,13,23,37,30,16,6,1,2,2,292,1272,29,0,0,5,268,2187,12,0,4,6,118,2818,312,160
21,30,41,6,34,2,7,0,0,3,293,1273,30,1,1,6,269,2188,13,0,5,7,119,2819,132,134
8,1,41,3,19,7,8,1,1,4,294,1274,31,0,0,7,270,2189,14,0,6,8,120,2820,312,79
42,5,44,16,14,46,9,2,2,5,295,1275,32,0,1,8,271,2190,15,0,0,9,121,2821,213,167
37,8,15,30,21,12,10,0,0,0,296,1276,33,1,2,9,272,2191,16,1,1,10,122,2822,141,123
46,36,38,8,32,9,11,0,1,1,297,1277,34,2,3,10,273,2192,17,0,0,11,123,2823,123,169
25,27,38,8,47,42,12,0,2,2,298,1278,35,3,4,11,274,2193,18,0,0,12,124,2824,123,187
18,11,4,43,39,1,13,0,3,3,299,1279,36,0,0,12,275,2194,19,1,1,13,125,2825,321,116
32,22,37,13,6,36,14,0,4,4,300,1280,37,0,0,13,276,2195,20,2,2,14,126,2826,321,146
48,37,25,46,35,36,15,0,5,5,301,1281,38,0,0,14,277,2196,21,3,3,15,127,2827,321,227
12,21,45,36,43,41,16,0,0,0,302,1282,39,1,1,15,278,2197,22,4,4,16,128,2828,141,198
3,19,38,46,15,11,17,0,1,1,303,1283,40,0,2,16,279,2198,23,0,5,17,129,2829,222,132
19,18,5,46,22,42,18,0,2,2,304,1284,41,0,0,17,280,2199,24,1,6,18,130,2830,321,152
37,8,10,20,48,14,19,1,3,3,305,1285,42,0,1,18,281,2200,25,0,0,19,131,2831,213,137
28,3,1,48,13,7,20,0,4,4,306,1286,43,0,0,0,282,2201,0,1,1,20,132,2832,420,100
19,11,37,18,23,3,21,0,5,5,307,1287,44,0,1,1,283,2202,1,0,2,21,133,2833,222,111
43,25,31,21,40,14,22,1,6,6,308,1288,45,0,0,0,284,2203,2,1,3,22,134,2834,411,174
44,5,48,27,19,45,23,0,0,7,309,1289,46,1,1,1,285,2204,3,0,4,23,135,2835,132,188
36,47,6,21,35,32,24,0,0,8,310,1290,0,2,2,2,286,2205,4,0,0,24,136,2836,033,177
48,31,21,12,10,29,25,0,0,9,311,1291,1,0,3,3,287,2206,5,1,1,25,137,2837,231,151
18,29,25,31,41,19,26,1,1,10,312,1292,2,0,0,4,288,2207,6,0,2,26,138,2838,312,163
49,11,24,6,5,38,27,0,2,11,313,1293,0,1,1,5,289,2208,7,0,0,27,139,2839,023,133
14,18,20,6,39,8,28,0,0,12,314,1294,0,2,2,6,290,2209,8,0,0,28,140,2840,033,105
21,3,22,37,23,13,29,0,1,13,315,1295,1,0,0,7,291,2210,9,1,1,29,141,2841,321,119
37,34,31,35,47,48,30,1,2,14,316,1296,2,0,0,8,292,2211,10,0,2,30,142,2842,312,232
34,22,14,19,46,3,31,2,3,15,317,1297,3,0,0,0,293,2212,11,1,3,31,143,2843,411,138
44,22,8,43,35,25,0,3,4,16,318,1298,4,0,0,1,294,2213,12,0,0,32,144,2844,303,177
