b1,b2,b3,b4,b5,b6,colours,total
5,34,9,41,1,46,312,136
26,5,1,8,34,9,213,83
44,12,22,49,21,34,221,182
47,18,48,33,13,3,141,162
40,31,42,7,38,35,312,193
37,33,6,12,38,5,132,131
34,37,27,13,39,4,420,154
24,5,26,32,9,29,024,125
2,34,39,26,32,24,123,157
35,21,25,9,12,10,231,112
32,19,16,9,30,42,231,148
32,19,20,2,39,12,123,124
25,41,42,16,48,4,321,176
3,22,37,16,2,4,411,84
9,29,30,33,16,26,132,143
34,20,35,5,49,16,203,159
7,14,45,11,41,36,123,154
44,21,24,45,16,15,141,165
37,33,21,9,16,48,240,164
48,46,31,7,34,17,411,183
20,47,15,31,44,8,114,165
16,49,43,14,12,3,221,137
39,11,41,3,21,25,132,140
30,38,3,12,21,44,042,148
11,19,43,32,41,1,303,147
9,31,26,38,46,14,213,164
27,33,16,23,42,8,132,149
23,2,18,3,1,36,132,83
12,39,19,44,42,13,231,169
22,31,35,36,26,24,222,174
19,35,44,47,12,9,123,166
33,20,29,30,18,38,033,168
16,18,43,37,7,42,420,163
5,21,41,18,14,44,024,143
32,9,15,31,45,13,231,145
45,34,28,26,21,16,321,170
23,45,36,43,32,17,123,196
43,7,20,38,35,26,204,169
45,43,42,34,3,31,330,198
27,1,46,11,48,26,222,159
22,25,24,28,30,27,330,156
37,33,18,12,38,7,231,145
41,44,13,5,17,37,204,157
45,48,44,37,25,14,222,213
1,26,45,18,49,41,122,180
29,27,17,9,48,28,132,158
28,42,7,13,6,3,330,99
25,31,49,47,23,35,203,210
7,29,49,17,35,34,203,171
9,11,28,7,46,38,312,139
8,9,32,37,42,33,132,161
40,31,24,5,43,26,312,169
14,47,32,15,1,10,213,119
21,43,22,4,36,11,321,137
15,36,41,3,21,1,141,117
21,37,14,3,5,2,123,82
11,26,32,37,24,41,114,171
16,13,14,43,29,22,402,137
17,33,47,39,1,27,132,164
26,27,49,38,22,42,122,204
20,44,10,36,26,45,123,181
4,27,22,2,29,28,312,112
29,17,16,40,13,33,312,148
12,11,42,26,4,6,132,101
43,11,1,3,47,19,312,124
12,28,26,7,2,13,312,88
27,31,7,47,46,22,411,180
36,48,31,10,42,15,240,182
16,37,10,30,20,8,312,121
26,31,32,38,48,49,113,224
7,33,46,37,40,8,411,171
5,27,6,39,37,17,132,131
49,41,17,19,6,46,212,178
14,12,35,17,2,11,015,91
7,32,14,35,12,16,213,116
30,21,14,4,18,39,141,126
39,10,25,46,11,35,312,166
47,33,35,5,40,29,114,189
40,7,42,35,29,8,213,161
41,9,42,49,16,6,131,163
6,14,44,15,39,45,042,163
37,47,24,14,43,46,312,211
5,16,33,46,4,22,411,126
7,44,18,28,33,40,321,170
15,24,21,10,13,34,330,117
37,5,22,48,19,15,321,146
49,21,1,13,33,40,320,157
26,32,42,37,9,46,222,192
25,26,38,14,22,19,303,144
14,12,13,8,37,45,222,129
2,13,34,28,40,23,402,140
17,12,4,40,22,38,312,133
41,14,8,4,13,7,303,87
36,6,20,19,15,31,231,127
43,7,38,17,40,9,312,154
24,46,37,29,1,14,312,151
14,8,23,47,45,37,114,174
9,35,17,49,13,22,212,145
15,13,1,35,3,20,222,87
8,48,12,10,11,13,222,102
20,4,31,11,38,17,204,121
47,15,38,11,6,45,033,162
35,8,11,42,5,43,114,144
6,38,27,32,19,2,123,124
18,23,17,1,30,44,123,133
9,42,10,41,33,17,132,152
8,47,34,5,30,38,114,162
6,9,32,10,1,5,222,63
22,2,32,10,5,40,303,111
15,10,39,7,16,24,330,111
26,12,47,27,32,24,033,168
20,49,15,40,11,38,113,173
15,30,32,6,25,18,141,126
35,32,33,34,6,45,132,185
18,7,26,34,28,31,411,144
9,37,41,45,32,39,132,203
43,1,19,31,47,41,402,182
39,5,11,24,38,15,033,132
11,36,7,8,22,27,222,111
34,16,17,27,18,46,321,158
8,18,29,42,22,46,222,165
34,18,28,37,14,22,411,153
46,11,23,20,41,10,204,151
17,45,48,10,4,49,221,173
47,49,44,45,10,48,122,243
33,31,16,1,21,45,330,147
21,40,46,35,27,33,231,202
15,21,2,44,20,7,123,109
14,25,6,27,1,48,231,121
42,36,3,40,32,37,231,190
41,49,42,35,22,5,113,194
35,27,14,5,31,44,114,156
26,15,47,40,23,30,123,181
18,1,34,4,14,2,312,73
29,49,4,23,36,17,113,158
48,14,1,11,34,35,213,143
27,33,47,13,43,40,321,203
21,43,37,25,30,22,420,178
31,15,23,12,5,33,132,119
11,36,38,48,20,1,123,154
38,36,29,19,7,24,222,153
14,29,2,24,25,5,114,99
33,20,1,10,44,49,212,157
32,30,38,36,22,4,222,162
49,43,28,45,46,20,311,231
