b1,b2,b3,b4,b5,b6,colours,total
23,44,35,34,28,33,213,197
47,33,39,25,42,44,132,230
31,22,44,40,45,14,312,196
25,39,14,23,41,46,213,188
34,40,29,41,42,45,222,231
28,37,39,46,23,2,312,175
48,26,39,8,46,15,132,182
43,49,17,23,21,15,122,168
20,16,5,6,32,2,114,81
28,36,48,39,22,31,330,204
40,47,11,29,6,4,213,137
41,23,30,22,28,9,222,153
33,14,39,17,8,23,024,134
38,1,47,23,3,44,114,156
43,2,12,6,7,27,231,97
18,42,20,16,10,7,321,113
45,1,2,20,16,3,222,87
43,38,23,26,22,9,213,161
25,1,46,9,10,30,420,121
19,17,9,37,32,47,213,161
22,23,24,2,20,27,123,118
25,39,48,43,27,15,240,197
37,29,21,33,35,32,123,187
1,35,16,37,21,41,312,151
26,17,3,2,12,9,033,69
45,1,2,41,25,35,213,149
36,17,43,11,24,45,132,176
47,38,20,14,12,42,024,173
21,47,16,3,36,31,231,154
28,27,10,34,9,31,420,139
33,47,22,40,13,20,312,175
5,9,1,20,45,23,123,103
14,8,11,10,49,33,113,125
1,46,49,2,15,44,212,157
49,47,22,2,4,36,212,160
40,15,28,12,2,6,231,103
19,32,27,47,6,25,222,156
44,42,1,34,46,10,411,177
39,3,14,29,13,15,132,113
21,13,30,41,29,40,222,174
3,23,45,24,40,8,132,143
39,1,41,44,14,47,114,186
13,1,16,12,17,7,411,66
14,15,35,45,2,23,024,134
9,44,10,3,34,12,231,112
7,39,31,45,38,3,231,163
32,41,13,31,28,35,303,180
48,17,36,29,15,41,033,186
15,28,30,8,27,36,141,144
44,4,12,19,27,1,321,107
15,24,27,22,19,39,240,146
44,20,26,42,17,3,024,152
47,46,34,1,32,3,312,163
27,28,12,3,38,44,132,152
46,5,23,32,20,33,114,159
7,20,22,32,23,16,303,120
22,9,34,12,46,15,330,138
48,40,13,33,43,18,330,195
7,41,42,22,45,4,321,161
37,32,48,46,40,39,321,242
41,6,9,36,1,22,231,115
39,10,21,15,11,28,231,124
26,23,45,49,10,6,122,159
43,46,22,32,11,10,402,164
35,13,15,49,1,22,311,135
22,20,3,6,49,28,221,128
1,48,28,41,46,19,411,183
10,35,26,22,19,15,312,127
26,30,18,32,36,46,132,188
21,41,32,17,13,49,113,173
8,15,27,48,21,28,141,147
25,42,2,37,19,24,321,149
6,4,39,30,24,20,141,123
41,5,49,3,36,22,122,156
34,40,44,17,21,43,312,199
47,43,7,21,34,23,312,175
25,47,32,44,38,7,204,193
16,36,26,44,1,40,312,163
42,49,7,33,17,3,131,151
32,40,23,31,41,17,204,184
3,40,23,6,42,36,141,150
2,11,17,46,32,10,204,118
45,42,4,23,11,21,132,146
4,3,26,46,14,49,212,142
45,11,38,36,1,39,132,170
41,38,49,9,19,21,122,177
22,45,8,4,20,36,222,135
48,12,33,36,11,16,141,156
48,22,24,32,38,10,222,174
45,49,15,29,13,2,122,153
39,45,15,36,46,19,240,200
3,45,37,15,20,31,231,151
42,13,8,19,47,2,213,131
42,9,14,20,5,39,033,129
28,44,26,2,13,21,213,134
29,36,35,15,22,9,132,146
42,49,7,45,32,17,122,192
47,9,30,15,39,27,051,167
14,30,35,33,8,6,033,126
36,8,7,47,14,42,123,154
38,49,28,31,37,5,302,188
2,32,39,7,35,24,123,139
45,31,36,25,30,2,231,169
29,46,25,42,10,1,411,153
7,2,14,18,1,21,222,63
18,12,34,43,11,36,231,154
48,45,39,30,23,35,042,220
5,43,31,44,3,23,213,149
48,16,42,27,2,13,231,148
9,30,28,11,5,16,222,99
40,28,5,22,39,20,312,154
26,47,1,45,28,8,213,155
9,2,7,29,35,10,213,92
20,4,5,3,24,17,123,73
23,7,11,24,48,22,222,135
24,3,30,2,11,9,042,79
44,9,8,28,22,49,212,160
18,6,31,23,40,10,321,128
13,31,36,6,28,32,321,146
18,33,12,23,42,30,051,158
21,4,8,1,41,40,312,115
20,30,32,28,21,13,222,144
48,24,29,39,45,10,141,195
49,10,4,1,47,42,311,153
45,3,4,37,34,48,330,171
48,13,28,5,43,32,312,169
22,47,12,17,5,49,113,152
8,22,25,44,31,39,312,169
37,4,29,25,27,11,312,133
22,30,24,37,46,45,330,204
33,10,14,31,39,12,231,139
16,27,25,1,29,34,411,132
48,41,33,16,17,36,132,191
13,33,17,48,20,7,222,138
12,48,39,28,27,33,150,187
21,36,20,2,46,5,123,130
1,36,48,13,44,21,231,163
25,21,19,18,7,11,321,101
15,41,17,42,25,8,123,148
19,27,44,47,2,3,123,142
46,5,35,11,20,10,204,127
18,40,23,25,11,35,213,152
48,18,8,26,31,30,132,161
18,25,24,28,21,34,330,150
3,39,47,41,24,40,132,194
25,18,2,5,23,19,213,92
23,37,44,19,6,18,222,147
45,10,47,39,5,2,123,148
44,1,7,29,35,45,213,161
29,20,41,48,43,11,114,192
48,11,10,8,19,16,312,112
42,12,31,10,34,15,330,144
20,21,22,44,28,31,312,166
25,23,3,29,46,2,213,128
15,21,25,36,48,18,150,163
35,18,49,34,38,20,113,194
18,41,46,16,2,10,312,133
12,17,2,28,44,18,123,121
19,2,28,25,17,6,312,97
12,11,10,1,32,41,213,107
25,45,15,39,7,49,230,180
28,6,47,40,41,36,222,198
16,32,17,14,20,36,114,135
15,1,38,41,20,16,213,131
7,36,9,19,35,12,231,118
22,10,32,28,43,39,411,174
25,36,24,12,7,19,330,123
