b1,b2,b3,b4,b5,b6,colours,total
21,14,44,49,48,3,032,179
17,8,22,48,27,12,132,134
36,17,38,13,21,5,123,130
29,2,44,10,35,31,204,151
33,5,39,14,45,2,033,138
8,2,24,41,5,15,024,95
39,6,32,27,13,25,231,142
42,7,1,28,2,6,321,86
19,24,49,16,5,13,311,126
40,42,15,35,17,49,122,198
4,26,27,43,28,44,312,172
29,28,30,8,1,14,213,110
36,43,11,6,3,31,231,130
13,46,24,43,37,47,411,210
24,35,23,15,13,26,123,136
6,43,21,35,34,15,231,154
6,25,41,21,39,2,132,134
16,39,47,15,5,38,123,160
22,11,30,37,48,39,231,187
6,13,40,5,16,41,312,121
10,16,42,40,8,23,312,139
32,18,24,35,43,39,132,191
19,28,8,14,42,40,312,151
28,44,32,1,36,16,312,157
16,1,12,19,14,10,411,72
21,41,44,15,31,22,222,174
1,20,31,43,34,16,501,145
31,26,6,33,35,1,222,132
2,38,21,22,40,39,222,162
32,26,28,37,49,19,302,191
12,36,44,18,1,20,132,131
46,23,19,42,33,43,321,206
20,4,15,35,23,3,123,100
30,34,47,3,2,33,132,149
1,22,15,5,11,19,312,73
27,3,26,45,49,10,131,160
36,16,20,33,27,39,141,171
21,30,29,38,36,12,042,166
44,3,18,42,35,29,033,171
5,10,45,26,13,38,213,137
30,13,28,48,17,32,222,168
6,3,32,5,4,43,222,93
14,46,16,48,42,22,321,188
22,48,7,31,10,32,411,150
27,9,29,45,43,18,141,171
13,35,34,29,33,7,312,151
4,12,43,38,15,18,231,130
36,28,40,21,23,16,321,164
17,1,18,7,5,48,222,96
25,20,37,41,15,30,222,168
20,6,48,3,15,31,141,123
19,35,4,15,16,34,411,123
33,32,45,10,17,13,222,150
14,34,30,10,21,43,321,152
35,11,38,10,48,2,114,144
44,7,14,10,3,30,222,108
24,45,36,43,22,49,230,219
44,49,39,37,14,3,122,186
31,18,48,5,29,21,132,152
41,45,12,28,8,5,123,139
43,28,13,18,24,7,420,133
34,29,49,28,42,25,311,207
29,23,39,31,38,30,123,190
1,22,35,32,49,37,302,176
4,42,28,3,11,23,222,111
37,10,13,23,21,19,411,123
16,20,42,44,12,33,132,167
25,45,39,35,49,31,221,224
15,5,28,27,21,3,141,99
41,1,7,22,47,29,303,147
41,17,45,22,14,8,114,147
20,29,24,35,7,12,123,127
38,40,25,45,44,39,222,231
27,3,6,40,41,24,141,141
37,8,41,35,11,38,105,170
8,36,23,43,31,12,222,153
14,38,37,43,19,42,312,193
24,39,4,29,36,34,231,166
35,25,19,26,28,40,402,173
25,39,15,2,1,34,321,116
26,47,12,9,45,36,042,175
38,28,33,23,43,8,213,173
38,9,30,36,27,11,042,151
46,16,25,37,4,9,510,137
11,1,14,40,5,22,303,93
5,7,11,34,22,43,402,122
19,13,7,20,6,5,312,70
12,40,5,3,31,34,321,125
19,1,2,9,31,3,321,65
35,3,29,23,31,40,213,161
13,37,19,3,47,6,321,125
9,32,15,27,10,26,132,119
2,45,33,26,36,7,132,149
20,22,9,44,8,38,114,141
41,30,11,31,1,34,312,148
17,23,9,12,15,20,033,96
13,5,38,16,44,36,213,152
25,32,14,9,22,43,312,145
6,49,14,34,22,27,221,152
43,42,5,2,28,3,222,123
26,43,38,4,30,49,212,190
16,12,39,36,24,42,150,169
1,28,42,9,4,7,420,91
22,16,1,43,38,35,402,155
7,26,17,39,13,29,213,131
22,4,8,17,10,19,402,80
4,1,27,29,15,2,222,78
6,3,15,14,46,30,141,114
46,35,2,8,41,45,114,177
8,33,16,19,23,18,222,117
29,20,49,39,13,42,122,192
10,43,41,31,24,25,411,174
44,39,32,1,11,35,114,162
45,28,24,18,2,30,141,147
25,29,13,31,11,7,402,116
7,20,13,39,48,44,222,171
33,5,11,35,30,22,123,136
30,20,14,10,11,31,213,116
8,4,42,49,16,10,311,129
14,13,46,10,7,20,402,110
33,8,31,36,46,18,231,172
5,26,22,24,34,4,312,115
41,40,12,49,15,11,122,168
47,13,34,17,36,8,213,155
11,28,12,18,44,39,132,152
22,19,6,25,49,31,410,152
49,27,11,20,9,43,122,159
15,14,34,7,5,19,312,94
8,17,4,36,40,2,213,107
5,33,37,11,25,22,312,133
42,26,38,22,4,36,222,168
22,32,5,30,13,2,213,104
11,48,42,30,17,37,132,185
3,4,33,15,47,14,132,116
42,3,22,24,13,40,330,144
4,23,33,36,42,25,231,163
47,44,22,1,8,19,303,141
41,19,22,13,25,10,501,130
20,2,41,39,26,5,015,133
7,21,40,3,29,18,231,118
38,46,45,27,41,30,132,227
45,35,41,44,38,31,114,234
24,29,37,4,44,38,213,176
24,48,35,9,29,27,042,172
41,10,6,43,8,42,222,150
1,42,11,44,47,33,123,178
33,5,16,46,11,38,213,149
24,6,9,4,42,15,150,100
46,31,2,35,30,14,213,158
22,7,17,34,44,5,303,129
8,47,10,32,49,39,113,185
40,17,20,13,22,39,312,151
6,22,27,16,13,10,420,94
24,41,6,25,2,15,132,113
18,5,45,2,9,25,132,104
15,31,11,32,16,5,213,110
5,1,15,13,22,44,312,100
19,37,32,44,49,12,212,193
27,45,49,32,33,1,131,187
12,14,35,37,42,32,123,172
16,12,38,49,47,23,113,185
7,2,41,8,16,47,204,121
39,28,33,4,13,11,321,128
27,14,38,13,47,12,123,151
15,26,3,46,30,23,132,143
31,7,3,41,26,28,312,136
45,49,18,22,42,43,230,219
45,33,5,34,47,41,123,205
21,8,26,27,11,40,123,133
16,9,34,22,19,49,410,149
39,44,20,23,37,46,213,209
1,38,23,22,39,35,213,158
27,47,37,2,18,10,222,141
5,4,37,16,8,39,312,109
5,14,28,42,34,43,312,166
4,32,25,11,22,5,303,99
25,26,32,38,9,19,213,149
29,2,38,41,20,43,105,173
4,5,11,9,41,28,213,98
47,14,24,38,49,32,014,204
43,18,22,34,1,31,510,149
49,21,30,36,3,38,041,177
38,41,6,30,11,27,033,153
42,24,25,33,16,19,330,159
22,26,41,9,20,17,114,135
13,21,40,37,34,11,411,156
41,48,43,29,27,24,132,212
36,1,48,30,29,37,231,181
24,28,5,44,3,13,222,117
26,9,24,35,7,3,132,104
9,31,26,30,44,3,132,143
1,41,36,43,17,28,312,166
32,36,1,23,48,8,123,148
38,35,8,25,27,49,113,182
11,26,30,44,33,39,033,183
17,29,5,25,16,43,303,135
10,42,26,2,14,33,123,127
17,1,10,13,46,25,501,112
42,39,30,7,21,44,141,183
45,42,49,36,44,28,131,244
33,10,25,15,22,12,330,117
32,7,24,14,16,13,312,106
7,12,40,28,37,42,420,166
2,4,46,13,15,41,312,121
11,6,47,36,19,8,123,127
43,45,2,24,27,38,132,179
16,6,4,39,11,42,231,118
20,10,17,5,6,28,213,86
37,1,17,18,45,3,231,121
9,46,29,35,5,42,123,166
45,24,13,14,17,41,123,154
22,14,17,8,13,12,213,86
27,5,9,1,24,35,132,101
33,34,45,2,22,32,222,168
21,16,31,49,3,48,230,168
40,15,2,36,3,38,132,134
