
logo
League 6212	
ResultsLeague Table
WEEK 1   17:04:00
MNU	2-0	TOT
LEI	6-0	FUL
FOR	1-1	SOU
WHU	3-2	BRI
MNC	0-1	ASV
LIV	1-1	WOL
CHE	5-1	BRN
CRY	0-0	EVE
BOU	0-0	LEE
NWC	1-1	ARS
WEEK 2   17:06:00
SOU	0-1	CHE
EVE	1-1	LIV
FUL	1-1	WHU
TOT	0-0	NWC
BRN	2-2	LEI
ARS	4-1	CRY
BRI	2-1	BOU
ASV	3-1	WOL
LEE	4-2	MNU
MNC	2-0	FOR
WEEK 3   17:08:00
CRY	3-1	TOT
BOU	3-0	FUL
FOR	1-2	ASV
LIV	1-0	ARS
NWC	3-2	LEE
LEI	2-1	SOU
MNU	2-0	BRI
WOL	2-1	EVE
WHU	0-0	BRN
CHE	0-1	MNC
WEEK 4   17:10:00
FOR	2-2	CHE
LEE	3-0	CRY
FUL	1-1	MNU
BRI	0-1	NWC
SOU	3-3	WHU
BRN	2-1	BOU
ARS	1-1	WOL
MNC	2-0	LEI
ASV	1-0	EVE
TOT	0-2	LIV
WEEK 5   17:12:00
BOU	0-1	SOU
NWC	0-1	FUL
EVE	1-1	ARS
LEI	1-1	FOR
WHU	0-2	MNC
CRY	0-2	BRI
WOL	1-2	TOT
CHE	0-0	ASV
LIV	2-2	LEE
MNU	4-0	BRN
WEEK 6   17:14:00
FUL	0-0	CRY
SOU	2-4	MNU
CHE	0-2	LEI
BRN	2-1	NWC
FOR	2-0	WHU
LEE	1-1	WOL
BRI	0-1	LIV
TOT	1-0	EVE
MNC	0-1	BOU
ASV	0-1	ARS
WEEK 7   17:16:00
WHU	0-0	CHE
EVE	0-2	LEE
NWC	3-0	SOU
MNU	0-0	MNC
LIV	2-1	FUL
BOU	0-2	FOR
LEI	2-1	ASV
ARS	0-4	TOT
CRY	0-1	BRN
WOL	4-2	BRI
WEEK 8   17:18:00
BRI	4-1	EVE
SOU	0-2	CRY
MNC	0-2	NWC
FOR	0-1	MNU
LEE	1-3	ARS
LEI	1-4	WHU
FUL	2-1	WOL
ASV	2-1	TOT
CHE	1-0	BOU
BRN	1-2	LIV
WEEK 9   17:20:00
CRY	2-3	MNC
WOL	1-1	BRN
TOT	3-1	LEE
NWC	2-0	FOR
WHU	0-2	ASV
ARS	5-1	BRI
