logo
League 6227	
ResultsLeague Table
WEEK 1   12:04:00
ARS	2-1	LEE
MNC	1-3	MNU
BOU	3-1	EVE
NWC	4-1	WHU
LIV	2-1	CHE
BRN	2-2	TOT
ASV	4-2	WOL
FUL	1-0	CRY
LEI	2-0	SOU
FOR	0-2	BRI
WEEK 2   12:06:00
TOT	2-1	ARS
MNU	2-1	BRN
WOL	0-0	BOU
WHU	3-1	MNC
SOU	1-0	FOR
EVE	1-0	LEI
LIV	2-2	ASV
LEE	3-0	FUL
BRI	2-3	NWC
CHE	4-1	CRY
WEEK 3   12:08:00
NWC	3-3	SOU
CRY	1-1	LEE
BOU	2-1	LIV
FOR	1-2	EVE
LEI	1-0	WOL
MNC	3-0	BRI
BRN	3-0	WHU
ARS	2-1	MNU
FUL	1-3	TOT
ASV	1-3	CHE
WEEK 4   12:10:00
CHE	2-1	LEE
ASV	1-0	BOU
MNU	3-0	FUL
BRI	2-1	BRN
TOT	3-1	CRY
WHU	0-2	ARS
SOU	1-1	MNC
WOL	2-0	FOR
EVE	0-0	NWC
LIV	2-3	LEI
WEEK 5   12:12:00
MNC	3-1	EVE
FOR	1-0	LIV
BOU	2-2	CHE
LEI	0-0	ASV
ARS	4-0	BRI
BRN	1-2	SOU
LEE	3-1	TOT
NWC	0-2	WOL
FUL	1-1	WHU
CRY	1-4	MNU
WEEK 6   12:14:00
SOU	0-1	ARS
MNU	2-1	LEE
LIV	1-0	NWC
BRI	3-1	FUL
BOU	1-3	LEI
CHE	1-1	TOT
WHU	0-1	CRY
EVE	1-0	BRN
WOL	1-2	MNC
ASV	3-1	FOR
WEEK 7   12:16:00
LEI	0-0	CHE
MNC	0-3	LIV
NWC	2-0	ASV
FUL	1-2	SOU
TOT	3-2	MNU
ARS	2-0	EVE
BRN	0-0	WOL
FOR	0-2	BOU
CRY	1-4	BRI
LEE	0-4	WHU
WEEK 8   12:18:00
CHE	1-1	MNU
WOL	4-2	ARS
BRI	0-0	LEE
BOU	0-3	NWC
WHU	2-1	TOT
SOU	0-2	CRY
ASV	2-2	MNC
LIV	4-0	BRN
LEI	3-2	FOR
EVE	0-0	FUL
WEEK 9   12:20:00
TOT	1-1	BRI
BRN	0-1	ASV
MNU	1-0	WHU
ARS	1-0	LIV
CRY	1-0	EVE
LEE	2-2	SOU
FOR	0-4	CHE
MNC	1-1	BOU
FUL	2-0	WOL
NWC	0-2	LEI
WEEK 10   12:22:00
BOU	1-0	BRN
ASV	1-1	ARS
FOR	0-0	NWC
BRI	2-4	MNU
EVE	1-3	LEE
LEI	1-2	MNC
CHE	4-2	WHU
LIV	2-0	FUL
SOU	1-4	TOT
WOL	3-2	CRY
WEEK 11   12:24:00
LEE	3-2	WOL
FUL	1-0	ASV
MNC	2-2	FOR
MNU	1-1	SOU
ARS	0-0	BOU
BRN	0-0	LEI
NWC	1-2	CHE
WHU	0-2	BRI
CRY	0-0	LIV
TOT	2-1	EVE
WEEK 12   12:26:00
CHE	1-2	BRI
NWC	1-1	MNC
LIV	2-0	LEE
EVE	1-4	MNU
ASV	1-0	CRY
FOR	2-1	BRN
BOU	0-0	FUL
WOL	2-3	TOT
LEI	2-2	ARS
SOU	1-1	WHU
WEEK 13   12:28:00
ARS	5-0	FOR
BRI	0-2	SOU
MNU	2-0	WOL
LEE	1-1	ASV
TOT	0-2	LIV
BRN	1-1	NWC
WHU	1-2	EVE
CRY	2-2	BOU
MNC	2-1	CHE
FUL	2-2	LEI
WEEK 14   12:30:00
LIV	1-2	MNU
EVE	0-0	BRI
CHE	2-0	SOU
LEI	0-0	CRY
FOR	2-2	FUL
BOU	1-0	LEE
NWC	3-2	ARS
WOL	2-2	WHU
MNC	5-1	BRN
ASV	0-0	TOT
WEEK 15   12:32:00
MNU	3-1	ASV
ARS	2-1	MNC
FUL	2-2	NWC
SOU	3-1	EVE
BRN	0-2	CHE
BRI	4-2	WOL
WHU	2-2	LIV
TOT	5-1	BOU
CRY	1-0	FOR
LEE	1-1	LEI
WEEK 16   12:34:00
BOU	1-3	MNU
WOL	3-0	SOU
MNC	2-0	FUL
CHE	2-0	EVE
NWC	3-1	CRY
BRN	0-0	ARS
LIV	1-1	BRI
FOR	3-2	LEE
LEI	1-0	TOT
ASV	1-0	WHU
WEEK 17   12:36:00
LEE	0-1	NWC
WHU	2-1	BOU
FUL	1-2	BRN
SOU	0-2	LIV
CRY	2-4	MNC
EVE	2-0	WOL
BRI	3-2	ASV
