logo
League 6189	
ResultsLeague Table
WEEK 1   11:56:00
NWC	5-1	EVE
CHE	1-1	BRI
FUL	0-2	TOT
LIV	1-0	WHU
BOU	1-2	MNC
MNU	1-0	BRN
LEI	1-1	ARS
WOL	2-1	LEE
FOR	1-2	SOU
ASV	0-1	CRY
WEEK 2   11:58:00
SOU	4-1	WOL
EVE	4-2	FOR
MNC	0-1	FUL
ARS	2-1	NWC
WHU	4-1	BOU
CRY	2-1	TOT
ASV	2-4	LEI
LEE	0-1	MNU
BRI	3-0	LIV
BRN	3-2	CHE
WEEK 3   12:00:00
NWC	3-0	ASV
CHE	1-0	LEE
LIV	3-1	BRN
BOU	0-2	BRI
MNU	2-0	SOU
WOL	2-1	EVE
LEI	2-2	CRY
FOR	1-2	ARS
TOT	3-1	MNC
FUL	3-0	WHU
WEEK 4   12:02:00
LEE	0-3	LIV
EVE	2-1	MNU
ARS	3-2	WOL
LEI	1-0	NWC
ASV	1-3	FOR
CRY	3-3	MNC
WHU	0-2	TOT
BRN	0-3	BOU
BRI	2-2	FUL
SOU	1-1	CHE
WEEK 5   12:04:00
FOR	0-2	LEI
TOT	3-0	BRI
BOU	0-1	LEE
LIV	3-1	SOU
MNU	2-2	ARS
CHE	3-2	EVE
MNC	2-2	WHU
FUL	1-1	BRN
WOL	0-0	ASV
NWC	3-0	CRY
WEEK 6   12:06:00
LEE	4-1	FUL
BRI	3-0	MNC
ASV	0-2	MNU
BRN	1-0	TOT
NWC	4-0	FOR
SOU	2-1	BOU
CRY	3-0	WHU
ARS	2-1	CHE
LEI	3-1	WOL
EVE	2-3	LIV
WEEK 7   12:08:00
MNU	1-0	LEI
TOT	3-0	LEE
MNC	2-1	BRN
WHU	1-0	BRI
WOL	1-3	NWC
FOR	1-0	CRY
CHE	3-1	ASV
FUL	2-3	SOU
LIV	2-0	ARS
BOU	1-0	EVE
WEEK 8   12:10:00
FOR	0-0	WOL
ARS	1-0	BOU
SOU	0-2	TOT
NWC	2-0	MNU
LEE	2-0	MNC
BRN	2-2	WHU
EVE	3-1	FUL
LEI	3-1	CHE
ASV	0-1	LIV
CRY	2-1	BRI
WEEK 9   12:12:00
TOT	1-1	EVE
WOL	1-0	CRY
BRI	2-0	BRN
FUL	0-0	ARS
WHU	0-2	LEE
LIV	2-1	LEI
CHE	0-3	NWC
MNU	1-0	FOR
MNC	2-0	SOU
BOU	1-4	ASV
WEEK 10   12:14:00
FOR	1-3	CHE
LEI	1-0	BOU
LEE	1-1	BRI
CRY	1-3	BRN
SOU	0-1	WHU
EVE	3-3	MNC
ASV	0-1	FUL
WOL	1-2	MNU
ARS	0-3	TOT
NWC	3-2	LIV
WEEK 11   12:16:00
TOT	1-1	ASV
FUL	2-1	LEI
LIV	4-0	FOR
WHU	2-2	EVE
MNU	3-1	CRY
MNC	4-1	ARS
BRI	0-1	SOU
CHE	1-2	WOL
BRN	1-0	LEE
BOU	2-2	NWC
WEEK 12   12:18:00
ASV	0-2	MNC
SOU	3-0	BRN
FOR	1-0	BOU
WOL	2-0	LIV
ARS	2-2	WHU
LEI	0-2	TOT
EVE	0-0	BRI
MNU	2-1	CHE
NWC	0-1	FUL
CRY	1-1	LEE
WEEK 13   12:20:00
MNC	4-1	LEI
WHU	0-2	ASV
BRI	1-1	ARS
LIV	2-0	MNU
BOU	4-1	WOL
LEE	1-2	SOU
BRN	1-1	EVE
TOT	1-0	NWC
FUL	4-0	FOR
CHE	0-0	CRY
WEEK 14   12:22:00
NWC	1-4	MNC
FOR	1-5	TOT
CHE	2-0	LIV
LEI	4-0	WHU
ARS	0-0	BRN
EVE	2-4	LEE
MNU	2-0	BOU
ASV	1-0	BRI
WOL	1-0	FUL
CRY	2-2	SOU
WEEK 15   12:24:00
BRI	0-1	LEI
BOU	1-2	CHE
WHU	2-1	NWC
LIV	2-0	CRY
TOT	1-2	WOL
LEE	5-1	ARS
MNC	5-0	FOR
