logo
League 6230	
ResultsLeague Table
WEEK 1   15:52:00
WOL	0-0	BRI
FUL	1-3	MNC
ASV	3-1	LEE
BOU	2-2	LEI
CRY	2-2	TOT
FOR	0-1	CHE
ARS	1-2	EVE
NWC	3-1	SOU
WHU	0-1	LIV
BRN	1-0	MNU
WEEK 2   15:54:00
TOT	3-1	BOU
EVE	0-0	NWC
LEI	4-1	WOL
CHE	1-1	ARS
MNU	3-1	FOR
MNC	5-1	BRN
LIV	0-0	SOU
BRI	1-0	ASV
LEE	0-0	FUL
WHU	2-0	CRY
WEEK 3   15:56:00
ASV	2-0	LEI
CRY	1-2	LIV
WOL	1-0	TOT
ARS	0-2	MNU
NWC	4-0	CHE
BRN	4-2	LEE
BOU	2-4	WHU
FOR	0-0	MNC
SOU	0-1	EVE
FUL	2-1	BRI
WEEK 4   15:58:00
LEE	2-0	FOR
BRI	1-0	BRN
LIV	1-2	EVE
MNU	4-1	NWC
MNC	0-0	ARS
TOT	2-2	ASV
LEI	0-0	FUL
CRY	4-1	BOU
CHE	0-1	SOU
WHU	2-2	WOL
WEEK 5   16:00:00
SOU	1-2	MNU
WOL	1-0	CRY
BOU	1-1	LIV
ARS	1-1	LEE
EVE	1-0	CHE
FOR	0-1	BRI
BRN	1-2	LEI
ASV	2-1	WHU
NWC	0-1	MNC
FUL	2-2	TOT
WEEK 6   16:02:00
MNU	0-0	EVE
MNC	4-0	SOU
LEI	2-0	FOR
TOT	0-0	BRN
WHU	1-0	FUL
BRI	1-1	ARS
BOU	1-1	WOL
LIV	3-1	CHE
LEE	0-2	NWC
CRY	1-0	ASV
WEEK 7   16:04:00
NWC	1-1	BRI
EVE	0-2	MNC
FOR	0-4	TOT
SOU	2-0	LEE
CHE	2-0	MNU
BRN	1-2	WHU
ASV	0-0	BOU
ARS	0-1	LEI
FUL	2-1	CRY
WOL	2-1	LIV
WEEK 8   16:06:00
LEI	3-0	NWC
TOT	3-1	ARS
BOU	0-3	FUL
