
logo
League 1575	
ResultsLeague Table
WEEK 1   19:24:00
NWC	2-2	BRN
BOU	0-3	ARS
WHU	1-2	TOT
BRI	2-2	MNU
LIV	1-2	SHU
CHE	1-0	LUT
FOR	0-3	MNC
CRY	1-1	ASV
BUR	0-2	WOL
FUL	3-0	EVE
WEEK 2   19:26:00
ARS	2-1	BUR
MNU	3-2	FOR
ASV	2-2	LIV
LUT	1-1	BRI
WOL	4-0	FUL
BRN	1-2	SHU
NWC	1-3	WHU
EVE	1-2	CHE
MNC	4-1	CRY
TOT	0-0	BOU
WEEK 3   19:28:00
WHU	3-1	BRN
FUL	2-4	ARS
LIV	1-2	MNC
BUR	1-3	TOT
SHU	2-1	ASV
BRI	4-1	EVE
CHE	4-2	WOL
BOU	2-2	NWC
FOR	1-0	LUT
CRY	2-2	MNU
WEEK 4   19:30:00
ARS	1-2	CHE
EVE	0-2	FOR
WOL	1-3	BRI
MNU	1-0	LIV
MNC	2-0	SHU
BRN	1-0	ASV
TOT	2-1	FUL
WHU	1-1	BOU
LUT	3-1	CRY
NWC	3-2	BUR
WEEK 5   19:32:00
FUL	0-0	NWC
CRY	1-3	EVE
LIV	4-1	LUT
SHU	0-1	MNU
BUR	1-1	WHU
BOU	1-0	BRN
CHE	2-3	TOT
BRI	1-3	ARS
FOR	0-0	WOL
ASV	0-1	MNC
WEEK 6   19:34:00
WHU	0-1	FUL
BOU	1-1	BUR
BRN	3-0	MNC
WOL	0-2	CRY
TOT	1-1	BRI
ARS	1-2	FOR
EVE	2-2	LIV
MNU	1-1	ASV
NWC	1-2	CHE
LUT	0-1	SHU
WEEK 7   19:36:00
FOR	3-3	TOT
FUL	2-0	BOU
BUR	1-4	BRN
ASV	3-1	LUT
CHE	2-1	WHU
CRY	1-2	ARS
BRI	2-1	NWC
LIV	2-1	WOL
SHU	2-1	EVE
MNC	0-0	MNU
WEEK 8   19:38:00
NWC	1-1	FOR
EVE	1-1	ASV
ARS	4-1	LIV
BOU	3-1	CHE
TOT	0-2	CRY
WOL	1-3	SHU
WHU	1-1	BRI
LUT	1-1	MNC
BUR	1-0	FUL
BRN	3-1	MNU
WEEK 9   19:40:00
SHU	0-2	ARS
MNC	2-2	EVE
FUL	1-1	BRN
ASV	1-3	WOL
BRI	2-1	BOU
FOR	0-1	WHU
MNU	4-0	LUT
CHE	2-1	BUR
LIV	3-2	TOT
CRY	1-5	NWC
